latency,duration,type,marker_value,key,timestamp,marker_id
0.123980,54.088555,sensor_check,true,-1,1673519379.655057,1
54.220340,20.907938,phase_calibration,calibration,-1,1673519433.751417,2
54.220340,0.000000,published_date,2022-02-07T03:38:14.751783Z,-1,1673519433.751417,3
54.220340,20.907938,sound_check,true,-1,1673519433.751417,4
75.128278,26.474135,eyesopen_element_pre,NULL,-1,1673519454.659355,5
75.128278,26.474135,phase_Calibration_phase_1,15152,-1,1673519454.659355,6
101.610217,135.038409,active_period,true,-1,1673519481.141294,7
101.688453,18.592839,phase_Instructions_Phase_1,15153,-1,1673519481.219530,8
101.688453,9.596525,instructions1,NULL,-1,1673519481.219530,9
111.284978,7.272792,instructionsfinal,NULL,-1,1673519490.816055,10
118.557770,1.723522,text_element_cqxq,NULL,-1,1673519498.088847,11
120.281292,1.223066,example1,NULL,-1,1673519499.812369,12
120.281292,17.243305,phase_Example,15154,-1,1673519499.812369,13
121.227923,0.000000,key_down,NULL,32,1673519500.759000,12
121.512260,0.514252,gap_element,auto_generated,-1,1673519501.043337,14
122.034315,1.207954,example2,NULL,-1,1673519501.565392,15
122.515923,0.000000,key_down,NULL,32,1673519502.047000,15
123.242269,0.522953,gap_element,auto_generated,-1,1673519502.773346,16
123.773124,1.207951,pattern,NULL,-1,1673519503.304201,17
124.988877,0.506847,gap_element,auto_generated,-1,1673519504.519954,18
125.503626,1.218259,example3,NULL,-1,1673519505.034703,19
125.858923,0.000000,key_down,NULL,32,1673519505.390000,19
126.721885,0.510559,gap_element,auto_generated,-1,1673519506.252962,20
127.240247,9.777976,text_element_m8fp,NULL,-1,1673519506.771324,21
137.018223,0.506374,gap_element,auto_generated,-1,1673519516.549300,22
137.524597,3.032833,phase_RSG,15155,-1,1673519517.055674,23
137.524597,1.005246,ready,NULL,-1,1673519517.055674,24
138.529843,1.013645,set,NULL,-1,1673519518.060920,25
139.543488,1.013942,go,NULL,-1,1673519519.074565,26
140.565133,35.749786,phase_Stimuli_phase_1,15151,-1,1673519520.096210,27
140.565133,0.545682,plain_hit,NULL,-1,1673519520.096210,28
141.107923,0.000000,key_down,NULL,32,1673519520.639000,28
141.118618,0.210170,gap_element,auto_generated,-1,1673519520.649695,29
