latency,duration,type,marker_value,key,timestamp,marker_id
0.187096,29.935307,sensor_check,true,-1,1673519706.722843,1
30.122403,0.000000,published_date,2022-02-07T03:36:36.403880Z,-1,1673519736.658150,2
30.130198,4.677392,phase_calibration,calibration,-1,1673519736.665945,3
30.130198,4.677392,sound_check,true,-1,1673519736.665945,4
34.807590,29.592298,eyesopen_element_pre,NULL,-1,1673519741.343337,5
34.807590,29.592298,phase_Calibration_phase_1,15124,-1,1673519741.343337,6
64.399888,172.860806,active_period,true,-1,1673519770.935635,7
64.509027,15.622489,instructions1,NULL,-1,1673519771.044774,8
64.509027,35.283125,phase_Instructions,15125,-1,1673519771.044774,9
80.131516,7.951565,instructions2,NULL,-1,1673519786.667263,10
86.816253,0.000000,key_down,NULL,71,1673519793.352000,10
88.090877,1.395422,instructionsfinal,NULL,-1,1673519794.626624,11
89.488253,0.000000,key_down,NULL,80,1673519796.024000,11
89.501890,10.290262,text_element_31yn,NULL,-1,1673519796.037637,12
99.792152,1.013435,ready,NULL,-1,1673519806.327899,13
99.792152,3.040305,phase_RSG,15126,-1,1673519806.327899,14
100.805587,1.013435,set,NULL,-1,1673519807.341334,15
101.819022,1.013435,go,NULL,-1,1673519808.354769,16
102.840252,1.559131,match_purple,p,-1,1673519809.375999,17
102.840252,45.924191,phase_Stimuli_phase_1,15127,-1,1673519809.375999,18
104.400253,0.000000,key_down,p,80,1673519810.936000,17
104.407179,0.210482,gap_element,auto_generated,-1,1673519810.942926,19
104.617661,3.562614,catch_green,g,-1,1673519811.153408,20
105.393253,0.000000,key_down,g,80,1673519811.929000,20
108.176253,0.000000,key_down,g,71,1673519814.712000,20
108.180275,0.210482,gap_element,auto_generated,-1,1673519814.716022,21
108.390757,1.270692,catch_purple,p,-1,1673519814.926504,22
109.664253,0.000000,key_down,p,80,1673519816.200000,22
109.669244,0.218279,gap_element,auto_generated,-1,1673519816.204991,23
109.887523,1.652678,catch_orange,o,-1,1673519816.423270,24
111.536253,0.000000,key_down,o,79,1673519818.072000,24
111.540201,0.210482,gap_element,auto_generated,-1,1673519818.075948,25
111.750683,1.005640,catch_red,r,-1,1673519818.286430,26
112.752253,0.000000,key_down,r,82,1673519819.288000,26
112.756323,0.218278,gap_element,auto_generated,-1,1673519819.292070,27
112.974601,1.730635,catch_green,g,-1,1673519819.510348,28
114.704253,0.000000,key_down,g,71,1673519821.240000,28
114.713032,0.202687,gap_element,auto_generated,-1,1673519821.248779,29
114.923514,0.724996,match_green,g,-1,1673519821.459261,30
115.648253,0.000000,key_down,g,71,1673519822.184000,30
115.656306,0.194891,gap_element,auto_generated,-1,1673519822.192053,31
115.858993,3.617182,catch_orange,o,-1,1673519822.394740,32
117.104253,0.000000,key_down,o,82,1673519823.640000,32
119.472253,0.000000,key_down,o,79,1673519826.008000,32
119.476175,0.218279,gap_element,auto_generated,-1,1673519826.011922,33
119.694454,1.317465,catch_purple,p,-1,1673519826.230201,34
121.008253,0.000000,key_down,p,80,1673519827.544000,34
121.011919,0.210483,gap_element,auto_generated,-1,1673519827.547666,35
121.222402,1.294078,catch_orange,o,-1,1673519827.758149,36
122.512253,0.000000,key_down,o,79,1673519829.048000,36
122.516480,0.218278,gap_element,auto_generated,-1,1673519829.052227,37
122.742554,1.223918,catch_red,r,-1,1673519829.278301,38
123.968253,0.000000,key_down,r,82,1673519830.504000,38
123.974267,0.210483,gap_element,auto_generated,-1,1673519830.510014,39
124.184750,1.114778,match_red,r,-1,1673519830.720497,40
125.296253,0.000000,key_down,r,82,1673519831.832000,40
125.299528,0.202687,gap_element,auto_generated,-1,1673519831.835275,41
125.502215,0.818544,catch_red,r,-1,1673519832.037962,42
126.320253,0.000000,key_down,r,82,1673519832.856000,42
126.328554,0.218279,gap_element,auto_generated,-1,1673519832.864301,43
126.546833,1.169348,catch_purple,p,-1,1673519833.082580,44
127.712253,0.000000,key_down,p,80,1673519834.248000,44
127.716181,0.218278,gap_element,auto_generated,-1,1673519834.251928,45
127.934459,1.411013,catch_green,g,-1,1673519834.470206,46
129.344253,0.000000,key_down,g,71,1673519835.880000,46
129.345472,0.218278,gap_element,auto_generated,-1,1673519835.881219,47
129.571546,0.927683,match_orange,o,-1,1673519836.107293,48
130.496253,0.000000,key_down,o,79,1673519837.032000,48
130.499229,0.226074,gap_element,auto_generated,-1,1673519837.034976,49
130.725303,1.005639,catch_orange,o,-1,1673519837.261050,50
131.728253,0.000000,key_down,o,79,1673519838.264000,50
131.730942,0.202687,gap_element,auto_generated,-1,1673519838.266689,51
131.941425,1.114778,catch_green,g,-1,1673519838.477172,52
133.056253,0.000000,key_down,g,71,1673519839.592000,52
133.063998,0.218279,gap_element,auto_generated,-1,1673519839.599745,53
133.282277,1.169348,catch_red,r,-1,1673519839.818024,54
134.448253,0.000000,key_down,r,82,1673519840.984000,54
134.451625,0.218278,gap_element,auto_generated,-1,1673519840.987372,55
134.669903,1.894344,catch_green,g,-1,1673519841.205650,56
136.560253,0.000000,key_down,g,71,1673519843.096000,56
136.564247,0.210482,gap_element,auto_generated,-1,1673519843.099994,57
136.774729,1.145961,catch_orange,o,-1,1673519843.310476,58
137.920253,0.000000,key_down,o,79,1673519844.456000,58
137.928486,0.218278,gap_element,auto_generated,-1,1673519844.464233,59
138.146764,1.052413,match_green,g,-1,1673519844.682511,60
139.200253,0.000000,key_down,g,71,1673519845.736000,60
139.206973,0.210483,gap_element,auto_generated,-1,1673519845.742720,61
139.425251,0.834135,catch_red,r,-1,1673519845.960998,62
140.256253,0.000000,key_down,r,82,1673519846.792000,62
140.259386,0.218278,gap_element,auto_generated,-1,1673519846.795133,63
140.477664,0.834135,match_orange,o,-1,1673519847.013411,64
141.312253,0.000000,key_down,o,79,1673519847.848000,64
141.319595,0.218278,gap_element,auto_generated,-1,1673519847.855342,65
141.537873,0.732791,catch_purple,p,-1,1673519848.073620,66
142.272253,0.000000,key_down,p,80,1673519848.808000,66
142.278460,0.218278,gap_element,auto_generated,-1,1673519848.814207,67
142.496738,0.654835,catch_red,r,-1,1673519849.032485,68
143.152253,0.000000,key_down,r,82,1673519849.688000,68
143.159369,0.210483,gap_element,auto_generated,-1,1673519849.695116,69
143.377647,0.732792,catch_purple,p,-1,1673519849.913394,70
144.112253,0.000000,key_down,p,80,1673519850.648000,70
144.118234,0.218279,gap_element,auto_generated,-1,1673519850.653981,71
144.336513,0.654834,catch_purple,p,-1,1673519850.872260,72
144.992253,0.000000,key_down,p,80,1673519851.528000,72
144.999143,0.210483,gap_element,auto_generated,-1,1673519851.534890,73
145.209626,0.553491,match_purple,p,-1,1673519851.745373,74
145.760253,0.000000,key_down,p,80,1673519852.296000,74
145.763117,0.218278,gap_element,auto_generated,-1,1673519852.298864,75
145.981395,0.678222,match_red,r,-1,1673519852.517142,76
146.656253,0.000000,key_down,r,82,1673519853.192000,76
146.659617,0.210483,gap_element,auto_generated,-1,1673519853.195364,77
146.870100,0.795156,catch_orange,o,-1,1673519853.405847,78
147.664253,0.000000,key_down,o,79,1673519854.200000,78
147.665256,0.218279,gap_element,auto_generated,-1,1673519854.201003,79
147.883535,0.662630,catch_green,g,-1,1673519854.419282,80
148.544253,0.000000,key_down,g,71,1673519855.080000,80
148.546165,0.218278,gap_element,auto_generated,-1,1673519855.081912,81
148.772239,2.011278,phase_Stimuli_phase_1a,15128,-1,1673519855.307986,82
148.772239,2.011278,faster,NULL,-1,1673519855.307986,83
150.791313,1.145961,catch_purple,p,-1,1673519857.327060,84
150.791313,43.764795,phase_Stimuli_phase_2,15129,-1,1673519857.327060,85
151.936253,0.000000,key_down,p,80,1673519858.472000,84
151.937274,0.218278,gap_element,auto_generated,-1,1673519858.473021,86
152.155552,0.647040,match_red,r,-1,1673519858.691299,87
152.800253,0.000000,key_down,r,82,1673519859.336000,87
152.802592,0.210482,gap_element,auto_generated,-1,1673519859.338339,88
153.020870,0.709404,catch_orange,o,-1,1673519859.556617,89
153.728253,0.000000,key_down,o,79,1673519860.264000,89
153.730274,0.218278,gap_element,auto_generated,-1,1673519860.266021,90
153.948552,0.647040,catch_green,g,-1,1673519860.484299,91
154.592253,0.000000,key_down,g,71,1673519861.128000,91
154.595592,0.226073,gap_element,auto_generated,-1,1673519861.131339,92
154.821665,0.615857,catch_purple,p,-1,1673519861.357412,93
155.440253,0.000000,key_down,p,80,1673519861.976000,93
155.445318,0.210482,gap_element,auto_generated,-1,1673519861.981065,94
155.655800,0.748383,catch_orange,o,-1,1673519862.191547,95
156.400253,0.000000,key_down,o,79,1673519862.936000,95
156.404183,0.210483,gap_element,auto_generated,-1,1673519862.939930,96
156.622461,0.709405,catch_red,r,-1,1673519863.158208,97
157.328253,0.000000,key_down,r,82,1673519863.864000,97
157.331866,0.218278,gap_element,auto_generated,-1,1673519863.867613,98
157.557940,0.631447,match_green,g,-1,1673519864.093687,99
158.192253,0.000000,key_down,g,71,1673519864.728000,99
158.197183,0.210483,gap_element,auto_generated,-1,1673519864.732930,100
158.407666,0.693813,catch_green,g,-1,1673519864.943413,101
159.104253,0.000000,key_down,g,71,1673519865.640000,101
159.109275,0.218278,gap_element,auto_generated,-1,1673519865.645022,102
159.327553,0.670426,catch_red,r,-1,1673519865.863300,103
160.000253,0.000000,key_down,r,82,1673519866.536000,103
160.005775,0.210482,gap_element,auto_generated,-1,1673519866.541522,104
160.224053,0.724996,catch_orange,o,-1,1673519866.759800,105
160.944253,0.000000,key_down,o,79,1673519867.480000,105
160.949049,0.202687,gap_element,auto_generated,-1,1673519867.484796,106
161.159531,0.826340,catch_red,r,-1,1673519867.695278,107
