latency,duration,type,marker_value,key,timestamp,marker_id
0.163708,6.103964,sensor_check,true,-1,1673364818.019277,1
6.275468,0.000000,published_date,2022-02-07T03:36:36.403880Z,-1,1673364824.131037,2
6.275468,1.870947,phase_calibration,calibration,-1,1673364824.131037,3
6.275468,1.870947,sound_check,true,-1,1673364824.131037,4
8.146415,33.014416,phase_Calibration_phase_1,15124,-1,1673364826.001984,5
8.146415,33.014416,eyesopen_element_pre,NULL,-1,1673364826.001984,6
41.160831,204.245029,active_period,true,-1,1673364859.016400,7
41.215400,81.238070,phase_Instructions,15125,-1,1673364859.070969,8
41.215400,40.615137,instructions1,NULL,-1,1673364859.070969,9
81.838333,7.109598,instructions2,NULL,-1,1673364899.693902,10
86.843431,0.000000,key_down,NULL,71,1673364904.699000,10
88.947931,1.013429,instructionsfinal,NULL,-1,1673364906.803500,11
89.962431,0.000000,key_down,NULL,80,1673364907.818000,11
89.976952,32.476518,text_element_31yn,NULL,-1,1673364907.832521,12
122.461266,3.024698,phase_RSG,15126,-1,1673364940.316835,13
122.461266,1.005634,ready,NULL,-1,1673364940.316835,14
123.225431,0.000000,key_down,NULL,80,1673364941.081000,14
123.466900,1.005634,set,NULL,-1,1673364941.322469,15
124.480330,1.005634,go,NULL,-1,1673364942.335899,16
125.493759,37.348776,phase_Stimuli_phase_1,15127,-1,1673364943.349328,17
125.493759,1.013430,catch_purple,p,-1,1673364943.349328,18
126.506431,0.000000,key_down,p,80,1673364944.362000,18
126.507189,0.218277,gap_element,auto_generated,-1,1673364944.362758,19
126.725466,0.818539,catch_green,g,-1,1673364944.581035,20
127.546431,0.000000,key_down,g,71,1673364945.402000,20
127.551801,0.210481,gap_element,auto_generated,-1,1673364945.407370,21
127.762282,0.537897,catch_red,r,-1,1673364945.617851,22
128.298431,0.000000,key_down,r,82,1673364946.154000,22
128.300179,0.202686,gap_element,auto_generated,-1,1673364946.155748,23
128.510661,0.701605,catch_green,g,-1,1673364946.366230,24
129.210431,0.000000,key_down,g,71,1673364947.066000,24
129.212266,0.218277,gap_element,auto_generated,-1,1673364947.067835,25
129.438339,3.102653,catch_orange,o,-1,1673364947.293908,26
129.963431,0.000000,key_down,o,80,1673364947.819000,26
132.538431,0.000000,key_down,o,79,1673364950.394000,26
132.540992,0.218277,gap_element,auto_generated,-1,1673364950.396561,27
132.759269,1.013430,match_green,g,-1,1673364950.614838,28
133.771431,0.000000,key_down,g,71,1673364951.627000,28
133.772699,0.218277,gap_element,auto_generated,-1,1673364951.628268,29
133.990976,0.740583,match_orange,o,-1,1673364951.846545,30
134.730431,0.000000,key_down,o,79,1673364952.586000,30
134.731559,0.202686,gap_element,auto_generated,-1,1673364952.587128,31
134.942041,1.785195,catch_green,g,-1,1673364952.797610,32
136.730431,0.000000,key_down,g,71,1673364954.586000,32
136.735031,0.202686,gap_element,auto_generated,-1,1673364954.590600,33
136.937717,0.670423,catch_red,r,-1,1673364954.793286,34
137.610431,0.000000,key_down,r,82,1673364955.466000,34
137.615935,0.210482,gap_element,auto_generated,-1,1673364955.471504,35
137.826417,0.631444,match_red,r,-1,1673364955.681986,36
138.458431,0.000000,key_down,r,82,1673364956.314000,36
138.465657,0.210482,gap_element,auto_generated,-1,1673364956.321226,37
138.683934,0.545693,catch_purple,p,-1,1673364956.539503,38
139.226431,0.000000,key_down,p,80,1673364957.082000,38
139.229627,0.202686,gap_element,auto_generated,-1,1673364957.085196,39
139.432313,0.592467,catch_orange,o,-1,1673364957.287882,40
140.026431,0.000000,key_down,o,79,1673364957.882000,40
140.032575,0.218277,gap_element,auto_generated,-1,1673364957.888144,41
140.250852,0.623649,catch_red,r,-1,1673364958.106421,42
140.874431,0.000000,key_down,r,82,1673364958.730000,42
140.874501,0.218277,gap_element,auto_generated,-1,1673364958.730070,43
141.092778,0.740583,match_purple,p,-1,1673364958.948347,44
141.834431,0.000000,key_down,p,80,1673364959.690000,44
141.841157,0.210482,gap_element,auto_generated,-1,1673364959.696726,45
142.051639,0.662627,catch_purple,p,-1,1673364959.907208,46
142.714431,0.000000,key_down,p,80,1673364960.570000,46
142.722061,0.210482,gap_element,auto_generated,-1,1673364960.577630,47
142.932543,1.317458,catch_orange,o,-1,1673364960.788112,48
144.250431,0.000000,key_down,o,79,1673364962.106000,48
144.257797,0.218277,gap_element,auto_generated,-1,1673364962.113366,49
