latency,duration,type,marker_value,key,timestamp,marker_id
0.210482,15.170286,sensor_check,true,-1,1673523584.646490,1
15.380768,27.471783,sound_check,true,-1,1673523599.816776,2
15.380768,0.000000,published_date,2022-02-07T03:36:36.403880Z,-1,1673523599.816776,3
15.380768,27.471783,phase_calibration,calibration,-1,1673523599.816776,4
42.852551,26.123140,eyesopen_element_pre,NULL,-1,1673523627.288559,5
42.852551,26.123140,phase_Calibration_phase_1,15124,-1,1673523627.288559,6
68.975691,142.963970,active_period,true,-1,1673523653.411699,7
69.108217,5.605054,instructions1,NULL,-1,1673523653.544225,8
69.108217,31.634647,phase_Instructions,15125,-1,1673523653.544225,9
74.713271,6.275479,instructions2,NULL,-1,1673523659.149279,10
79.523992,0.000000,key_down,NULL,71,1673523663.960000,10
80.988750,1.013431,instructionsfinal,NULL,-1,1673523665.424758,11
82.002992,0.000000,key_down,NULL,80,1673523666.439000,11
82.009976,18.732888,text_element_31yn,NULL,-1,1673523666.445984,12
100.742864,3.040294,phase_RSG,15126,-1,1673523685.178872,13
100.742864,1.021227,ready,NULL,-1,1673523685.178872,14
101.771886,1.005636,set,NULL,-1,1673523686.207894,15
102.777522,1.005636,go,NULL,-1,1673523687.213530,16
103.790953,40.061718,phase_Stimuli_phase_1,15127,-1,1673523688.226961,17
103.790953,0.802950,match_green,g,-1,1673523688.226961,18
104.596992,0.000000,key_down,g,71,1673523689.033000,18
104.601698,0.226074,gap_element,auto_generated,-1,1673523689.037706,19
104.827772,2.408848,catch_green,g,-1,1673523689.263780,20
105.426992,0.000000,key_down,g,80,1673523689.863000,20
107.234992,0.000000,key_down,g,71,1673523691.671000,20
107.236620,0.226073,gap_element,auto_generated,-1,1673523691.672628,21
107.462693,1.504556,catch_green,g,-1,1673523691.898701,22
108.963992,0.000000,key_down,g,71,1673523693.400000,22
108.967249,0.210481,gap_element,auto_generated,-1,1673523693.403257,23
109.177730,0.919884,match_purple,p,-1,1673523693.613738,24
110.098992,0.000000,key_down,p,80,1673523694.535000,24
110.105410,0.210482,gap_element,auto_generated,-1,1673523694.541418,25
