latency,duration,type,marker_value,key,timestamp,marker_id
0.163704,5.955689,sensor_check,true,-1,1673536400.286817,1
6.127188,0.000000,published_date,2022-02-07T03:38:14.751783Z,-1,1673536406.250301,2
6.127188,18.358180,phase_calibration,calibration,-1,1673536406.250301,3
6.127188,18.358180,sound_check,true,-1,1673536406.250301,4
24.493163,26.254924,eyesopen_element_pre,NULL,-1,1673536424.616276,5
24.493163,26.254924,phase_Calibration_phase_1,15152,-1,1673536424.616276,6
50.755883,133.893877,active_period,true,-1,1673536450.878996,7
50.849427,15.224426,instructions1,NULL,-1,1673536450.972540,8
50.849427,18.693382,phase_Instructions_Phase_1,15153,-1,1673536450.972540,9
66.073853,2.619257,instructionsfinal,NULL,-1,1673536466.196966,10
68.693110,0.849699,text_element_cqxq,NULL,-1,1673536468.816223,11
69.542809,11.981537,phase_Example,15154,-1,1673536469.665922,12
69.542809,1.223878,example1,NULL,-1,1673536469.665922,13
70.409887,0.000000,key_down,NULL,32,1673536470.533000,13
70.766687,0.522292,gap_element,auto_generated,-1,1673536470.889800,14
71.288979,1.216084,example2,NULL,-1,1673536471.412092,15
71.823887,0.000000,key_down,NULL,32,1673536471.947000,15
72.505063,0.514496,gap_element,auto_generated,-1,1673536472.628176,16
73.019559,1.208288,pattern,NULL,-1,1673536473.142672,17
74.235642,0.506702,gap_element,auto_generated,-1,1673536474.358755,18
74.742344,1.216083,example3,NULL,-1,1673536474.865457,19
75.151887,0.000000,key_down,NULL,32,1673536475.275000,19
75.966222,0.506702,gap_element,auto_generated,-1,1673536476.089335,20
76.472924,4.552516,text_element_m8fp,NULL,-1,1673536476.596037,21
81.025440,0.498906,gap_element,auto_generated,-1,1673536481.148553,22
81.532142,3.048003,phase_RSG,15155,-1,1673536481.655255,23
81.532142,1.021198,ready,NULL,-1,1673536481.655255,24
82.553340,1.005607,set,NULL,-1,1673536482.676453,25
83.566742,1.013403,go,NULL,-1,1673536483.689855,26
84.580145,37.199673,phase_Stimuli_phase_1,15151,-1,1673536484.703258,27
84.580145,0.491110,plain_hit,NULL,-1,1673536484.703258,28
85.072887,0.000000,key_down,NULL,32,1673536485.196000,28
85.079051,0.218271,gap_element,auto_generated,-1,1673536485.202164,29
85.297322,1.208288,pattern,NULL,-1,1673536485.420435,30
86.513405,0.210476,gap_element,auto_generated,-1,1673536486.636518,31
86.731677,0.327407,plain_hit,NULL,-1,1673536486.854790,32
87.056887,0.000000,key_down,NULL,32,1673536487.180000,32
87.059084,0.210476,gap_element,auto_generated,-1,1673536487.182197,33
87.277355,0.608042,plain_hit,NULL,-1,1673536487.400468,34
87.887887,0.000000,key_down,NULL,32,1673536488.011000,34
87.893192,0.218272,gap_element,auto_generated,-1,1673536488.016305,35
88.111464,1.013402,pattern,NULL,-1,1673536488.234577,36
89.124866,0.210476,gap_element,auto_generated,-1,1673536489.247979,37
89.343138,0.366384,plain_hit,NULL,-1,1673536489.466251,38
89.711887,0.000000,key_down,NULL,32,1673536489.835000,38
89.717317,0.210476,gap_element,auto_generated,-1,1673536489.840430,39
89.935588,0.498906,plain_hit,NULL,-1,1673536490.058701,40
90.431887,0.000000,key_down,NULL,32,1673536490.555000,40
90.434494,0.210476,gap_element,auto_generated,-1,1673536490.557607,41
90.644970,0.428747,plain_hit,NULL,-1,1673536490.768083,42
91.071887,0.000000,key_down,NULL,32,1673536491.195000,42
91.073717,0.226067,gap_element,auto_generated,-1,1673536491.196830,43
91.299784,0.475520,plain_hit,NULL,-1,1673536491.422897,44
91.775887,0.000000,key_down,NULL,32,1673536491.899000,44
91.783099,0.202681,gap_element,auto_generated,-1,1673536491.906212,45
91.993575,0.389770,plain_hit,NULL,-1,1673536492.116688,46
92.383887,0.000000,key_down,NULL,32,1673536492.507000,46
92.391141,0.202680,gap_element,auto_generated,-1,1673536492.514254,47
92.601617,0.405361,plain_hit,NULL,-1,1673536492.724730,48
93.007887,0.000000,key_down,NULL,32,1673536493.131000,48
93.014773,0.202681,gap_element,auto_generated,-1,1673536493.137886,49
93.225249,0.810722,pattern,NULL,-1,1673536493.348362,50
94.043767,0.210476,gap_element,auto_generated,-1,1673536494.166880,51
94.262038,0.413157,plain_hit,NULL,-1,1673536494.385151,52
94.671887,0.000000,key_down,NULL,32,1673536494.795000,52
94.675195,0.218271,gap_element,auto_generated,-1,1673536494.798308,53
94.901261,0.818518,pattern,NULL,-1,1673536495.024374,54
95.719779,0.218271,gap_element,auto_generated,-1,1673536495.842892,55
95.938050,0.397566,plain_hit,NULL,-1,1673536496.061163,56
96.335887,0.000000,key_down,NULL,32,1673536496.459000,56
96.343411,0.210476,gap_element,auto_generated,-1,1673536496.466524,57
96.561683,0.444338,plain_hit,NULL,-1,1673536496.684796,58
97.007887,0.000000,key_down,NULL,32,1673536497.131000,58
97.013816,0.218271,gap_element,auto_generated,-1,1673536497.136929,59
97.239883,0.428747,plain_hit,NULL,-1,1673536497.362996,60
97.663887,0.000000,key_down,NULL,32,1673536497.787000,60
97.668630,0.210476,gap_element,auto_generated,-1,1673536497.791743,61
97.886901,0.381975,plain_hit,NULL,-1,1673536498.010014,62
98.271887,0.000000,key_down,NULL,32,1673536498.395000,62
98.276672,0.210476,gap_element,auto_generated,-1,1673536498.399785,63
98.487148,0.397565,plain_hit,NULL,-1,1673536498.610261,64
98.880887,0.000000,key_down,NULL,32,1673536499.004000,64
98.884713,0.218272,gap_element,auto_generated,-1,1673536499.007826,65
99.110780,0.444338,plain_hit,NULL,-1,1673536499.233893,66
99.551887,0.000000,key_down,NULL,32,1673536499.675000,66
99.555118,0.218271,gap_element,auto_generated,-1,1673536499.678231,67
99.781185,0.818517,pattern,NULL,-1,1673536499.904298,68
100.599702,0.218272,gap_element,auto_generated,-1,1673536500.722815,69
