latency,duration,type,marker_value,key,timestamp,marker_id
0.156364,579.980414,sensor_check,true,-1,1673615652.860292,1
580.144686,0.000000,published_date,2022-02-07T03:38:14.751783Z,-1,1673616232.848614,2
580.144686,30.892395,phase_calibration,calibration,-1,1673616232.848614,3
580.144686,30.892395,sound_check,true,-1,1673616232.848614,4
611.044989,26.575254,phase_Calibration_phase_1,15152,-1,1673616263.748917,5
611.044989,26.575254,eyesopen_element_pre,NULL,-1,1673616263.748917,6
637.620243,164.740759,active_period,true,-1,1673616290.324171,7
637.736959,43.692349,phase_Instructions_Phase_1,15153,-1,1673616290.440887,8
637.736959,41.861100,instructions1,NULL,-1,1673616290.440887,9
679.605867,1.218968,instructionsfinal,NULL,-1,1673616332.309795,10
680.824835,0.604473,text_element_cqxq,NULL,-1,1673616333.528763,11
681.429308,14.718823,phase_Example,15154,-1,1673616334.133236,12
681.437216,1.214756,example1,NULL,-1,1673616334.141144,13
682.291072,0.000000,key_down,NULL,32,1673616334.995000,13
682.651972,0.523502,gap_element,auto_generated,-1,1673616335.355900,14
683.175474,1.208963,example2,NULL,-1,1673616335.879402,15
683.770072,0.000000,key_down,NULL,32,1673616336.474000,15
684.392244,0.506888,gap_element,auto_generated,-1,1673616337.096172,16
684.906939,1.208464,pattern,NULL,-1,1673616337.610867,17
686.123210,0.506288,gap_element,auto_generated,-1,1673616338.827138,18
686.637306,1.214757,example3,NULL,-1,1673616339.341234,19
687.033072,0.000000,key_down,NULL,32,1673616339.737000,19
687.852063,0.515594,gap_element,auto_generated,-1,1673616340.555991,20
688.367657,7.257872,text_element_m8fp,NULL,-1,1673616341.071585,21
695.625529,0.522602,gap_element,auto_generated,-1,1673616348.329457,22
696.148131,3.054920,phase_RSG,15155,-1,1673616348.852059,23
696.148131,1.017672,ready,NULL,-1,1673616348.852059,24
697.173710,1.008465,set,NULL,-1,1673616349.877638,25
698.189983,1.013068,go,NULL,-1,1673616350.893911,26
699.203051,0.822075,pattern,NULL,-1,1673616351.906979,27
699.203051,39.223395,phase_Stimuli_phase_1,15151,-1,1673616351.906979,28
700.025126,0.217204,gap_element,auto_generated,-1,1673616352.729054,29
700.242330,0.395573,plain_hit,NULL,-1,1673616352.946258,30
