latency,duration,type,marker_value,key,timestamp,marker_id
0.178901,73.982755,sensor_check,true,-1,1673617483.166508,1
74.161656,0.000000,published_date,2022-02-07T03:36:36.403880Z,-1,1673617557.149263,2
74.161656,3.442035,phase_calibration,calibration,-1,1673617557.149263,3
74.161656,3.442035,sound_check,true,-1,1673617557.149263,4
77.603691,26.911280,phase_Calibration_phase_1,15124,-1,1673617560.591298,5
77.603691,26.911280,eyesopen_element_pre,NULL,-1,1673617560.591298,6
104.522875,145.564301,active_period,true,-1,1673617587.510482,7
104.656445,27.143919,phase_Instructions,15125,-1,1673617587.644052,8
104.656445,5.172045,instructions1,NULL,-1,1673617587.644052,9
109.828490,5.246602,instructions2,NULL,-1,1673617592.816097,10
111.505393,0.000000,key_down,NULL,71,1673617594.493000,10
115.075092,7.588336,instructionsfinal,NULL,-1,1673617598.062699,11
119.569393,0.000000,key_down,NULL,79,1673617602.557000,11
122.658393,0.000000,key_down,NULL,80,1673617605.646000,11
122.663428,9.136936,text_element_31yn,NULL,-1,1673617605.651035,12
131.800364,3.038757,phase_RSG,15126,-1,1673617614.787971,13
131.800364,1.007816,ready,NULL,-1,1673617614.787971,14
132.808180,1.007717,set,NULL,-1,1673617615.795787,15
133.823601,1.015520,go,NULL,-1,1673617616.811208,16
134.839121,34.071844,phase_Stimuli_phase_1,15127,-1,1673617617.826728,17
134.839121,5.018755,catch_red,r,-1,1673617617.826728,18
137.074393,0.000000,key_down,r,79,1673617620.062000,18
139.865680,0.217810,gap_element,auto_generated,-1,1673617622.853287,19
140.083490,1.745579,catch_purple,p,-1,1673617623.071097,20
141.826393,0.000000,key_down,p,80,1673617624.814000,20
141.829069,0.217912,gap_element,auto_generated,-1,1673617624.816676,21
142.046981,1.380896,catch_green,g,-1,1673617625.034588,22
143.425393,0.000000,key_down,g,71,1673617626.413000,22
143.435681,0.217712,gap_element,auto_generated,-1,1673617626.423288,23
143.653393,1.277053,catch_red,r,-1,1673617626.641000,24
144.930393,0.000000,key_down,r,82,1673617627.918000,24
144.938350,0.210509,gap_element,auto_generated,-1,1673617627.925957,25
145.148859,3.641213,catch_green,g,-1,1673617628.136466,26
146.434393,0.000000,key_down,g,80,1673617629.422000,26
148.786393,0.000000,key_down,g,71,1673617631.774000,26
148.790072,0.211111,gap_element,auto_generated,-1,1673617631.777679,27
149.001183,1.400041,match_orange,o,-1,1673617631.988790,28
150.402393,0.000000,key_down,o,79,1673617633.390000,28
150.409128,0.211711,gap_element,auto_generated,-1,1673617633.396735,29
150.628743,1.136997,match_green,g,-1,1673617633.616350,30
151.761393,0.000000,key_down,g,71,1673617634.749000,30
151.765740,0.219216,gap_element,auto_generated,-1,1673617634.753347,31
151.984956,1.475485,match_purple,p,-1,1673617634.972563,32
153.458393,0.000000,key_down,p,80,1673617636.446000,32
153.460441,0.218416,gap_element,auto_generated,-1,1673617636.448048,33
153.686661,4.332175,catch_purple,p,-1,1673617636.674268,34
155.585393,0.000000,key_down,p,71,1673617638.573000,34
