latency,duration,type,marker_value,key,timestamp,marker_id
0.124701,233.087833,sensor_check,true,-1,1673356156.023536,1
233.220334,0.000000,published_date,2022-02-07T03:38:14.751783Z,-1,1673356389.119169,2
233.220334,7.504575,phase_calibration,calibration,-1,1673356389.119169,3
233.220334,7.504575,sound_check,true,-1,1673356389.119169,4
240.732609,37.415053,eyesopen_element_pre,NULL,-1,1673356396.631444,5
240.732609,37.415053,phase_Calibration_phase_1,15152,-1,1673356396.631444,6
278.147662,130.661237,active_period,true,-1,1673356434.046497,7
278.257556,15.495719,phase_Instructions_Phase_1,15153,-1,1673356434.156391,8
278.257556,9.376241,instructions1,NULL,-1,1673356434.156391,9
287.633797,4.819338,instructionsfinal,NULL,-1,1673356443.532632,10
292.453135,1.300140,text_element_cqxq,NULL,-1,1673356448.351970,11
293.753275,1.216342,example1,NULL,-1,1673356449.652110,12
293.753275,10.896177,phase_Example,15154,-1,1673356449.652110,13
294.888165,0.000000,key_down,NULL,32,1673356450.787000,12
294.977417,0.522675,gap_element,auto_generated,-1,1673356450.876252,14
295.500092,1.208242,example2,NULL,-1,1673356451.398927,15
296.237165,0.000000,key_down,NULL,32,1673356452.136000,15
296.708334,0.514576,gap_element,auto_generated,-1,1673356452.607169,16
297.222910,1.215642,pattern,NULL,-1,1673356453.121745,17
298.438552,0.513976,gap_element,auto_generated,-1,1673356454.337387,18
298.960228,1.208942,example3,NULL,-1,1673356454.859063,19
299.405165,0.000000,key_down,NULL,32,1673356455.304000,19
300.176970,0.514176,gap_element,auto_generated,-1,1673356456.075805,20
300.698845,3.449233,text_element_m8fp,NULL,-1,1673356456.597680,21
304.148078,0.509073,gap_element,auto_generated,-1,1673356460.046913,22
304.657151,3.050953,phase_RSG,15155,-1,1673356460.555986,23
304.657151,1.015350,ready,NULL,-1,1673356460.555986,24
305.680201,1.014251,set,NULL,-1,1673356461.579036,25
306.702252,1.005852,go,NULL,-1,1673356462.601087,26
307.708104,39.796141,phase_Stimuli_phase_1,15151,-1,1673356463.606939,27
307.715803,0.631171,plain_hit,NULL,-1,1673356463.614638,28
308.349165,0.000000,key_down,NULL,32,1673356464.248000,28
308.362473,0.218190,gap_element,auto_generated,-1,1673356464.261308,29
308.580663,0.584472,plain_hit,NULL,-1,1673356464.479498,30
309.165165,0.000000,key_down,NULL,32,1673356465.064000,30
309.172835,0.195090,gap_element,auto_generated,-1,1673356465.071670,31
309.375725,0.522375,plain_hit,NULL,-1,1673356465.274560,32
309.900165,0.000000,key_down,NULL,32,1673356465.799000,32
309.905800,0.210790,gap_element,auto_generated,-1,1673356465.804635,33
310.116590,0.492475,plain_hit,NULL,-1,1673356466.015425,34
310.604165,0.000000,key_down,NULL,32,1673356466.503000,34
310.609065,0.219788,gap_element,auto_generated,-1,1673356466.507900,35
310.836553,0.423277,plain_hit,NULL,-1,1673356466.735388,36
311.260165,0.000000,key_down,NULL,32,1673356467.159000,36
311.267730,0.210989,gap_element,auto_generated,-1,1673356467.166565,37
311.478719,0.807358,pattern,NULL,-1,1673356467.377554,38
312.293876,0.211589,gap_element,auto_generated,-1,1673356468.192711,39
312.513365,1.016648,pattern,NULL,-1,1673356468.412200,40
313.530013,0.218589,gap_element,auto_generated,-1,1673356469.428848,41
313.748602,0.522775,plain_hit,NULL,-1,1673356469.647437,42
314.269165,0.000000,key_down,NULL,32,1673356470.168000,42
314.271377,0.202890,gap_element,auto_generated,-1,1673356470.170212,43
314.481967,0.460078,plain_hit,NULL,-1,1673356470.380802,44
