latency,duration,type,marker_value,key,timestamp,marker_id
0.163711,250.445783,sensor_check,true,-1,1673356653.699715,1
250.617290,0.000000,published_date,2022-02-07T03:36:36.403880Z,-1,1673356904.153294,2
250.617290,11.522096,phase_calibration,calibration,-1,1673356904.153294,3
250.617290,11.522096,sound_check,true,-1,1673356904.153294,4
262.139386,27.058997,phase_Calibration_phase_1,15124,-1,1673356915.675390,5
262.139386,27.058997,eyesopen_element_pre,NULL,-1,1673356915.675390,6
289.206178,181.406754,active_period,true,-1,1673356942.742182,7
289.299727,49.105335,phase_Instructions,15125,-1,1673356942.835731,8
289.299727,16.269699,instructions1,NULL,-1,1673356942.835731,9
305.569426,25.531032,instructions2,NULL,-1,1673356959.105430,10
310.711996,0.000000,key_down,NULL,71,1673356964.248000,10
331.100458,3.048133,instructionsfinal,NULL,-1,1673356984.636462,11
332.376996,0.000000,key_down,NULL,79,1673356985.913000,11
334.150996,0.000000,key_down,NULL,80,1673356987.687000,11
334.164182,4.240880,text_element_31yn,NULL,-1,1673356987.700186,12
338.405062,3.032541,phase_RSG,15126,-1,1673356991.941066,13
338.405062,1.013446,ready,NULL,-1,1673356991.941066,14
339.418508,1.013445,set,NULL,-1,1673356992.954512,15
340.431953,1.005650,go,NULL,-1,1673356993.967957,16
341.437603,52.176855,phase_Stimuli_phase_1,15127,-1,1673356994.973607,17
341.437603,2.712916,match_orange,o,-1,1673356994.973607,18
344.151996,0.000000,key_down,o,79,1673356997.688000,18
344.158314,0.202690,gap_element,auto_generated,-1,1673356997.694318,19
344.368799,0.935489,catch_purple,p,-1,1673356997.904803,20
345.302996,0.000000,key_down,p,80,1673356998.839000,20
345.304288,0.210484,gap_element,auto_generated,-1,1673356998.840292,21
345.514772,2.736303,catch_purple,p,-1,1673356999.050776,22
346.870996,0.000000,key_down,p,71,1673357000.407000,22
348.246996,0.000000,key_down,p,80,1673357001.783000,22
348.251075,0.210485,gap_element,auto_generated,-1,1673357001.787079,23
348.461560,1.481190,match_purple,p,-1,1673357001.997564,24
349.942996,0.000000,key_down,p,80,1673357003.479000,24
349.950546,0.218280,gap_element,auto_generated,-1,1673357003.486550,25
350.176622,2.026891,catch_red,r,-1,1673357003.712626,26
352.198996,0.000000,key_down,r,82,1673357005.735000,26
352.203513,0.218281,gap_element,auto_generated,-1,1673357005.739517,27
352.421794,2.307537,match_green,g,-1,1673357005.957798,28
354.726996,0.000000,key_down,g,71,1673357008.263000,28
354.729331,0.218281,gap_element,auto_generated,-1,1673357008.265335,29
354.947612,1.270705,catch_green,g,-1,1673357008.483616,30
356.214996,0.000000,key_down,g,71,1673357009.751000,30
356.218317,0.226076,gap_element,auto_generated,-1,1673357009.754321,31
356.444393,1.582534,catch_red,r,-1,1673357009.980397,32
358.022996,0.000000,key_down,r,82,1673357011.559000,32
358.026927,0.210485,gap_element,auto_generated,-1,1673357011.562931,33
358.245208,1.683878,catch_orange,o,-1,1673357011.781212,34
359.926996,0.000000,key_down,o,79,1673357013.463000,34
359.929086,0.210485,gap_element,auto_generated,-1,1673357013.465090,35
360.139571,1.902160,catch_red,r,-1,1673357013.675575,36
362.038996,0.000000,key_down,r,82,1673357015.575000,36
362.041731,0.210485,gap_element,auto_generated,-1,1673357015.577735,37
362.252216,1.052424,catch_purple,p,-1,1673357015.788220,38
