latency,duration,type,marker_value,key,timestamp,marker_id
0.155912,3.913398,sensor_check,true,-1,1673513916.846803,1
4.077105,0.000000,published_date,2022-02-07T03:38:14.751783Z,-1,1673513920.767996,2
4.077105,11.334820,phase_calibration,calibration,-1,1673513920.767996,3
4.077105,11.334820,sound_check,true,-1,1673513920.767996,4
15.419721,38.089362,phase_Calibration_phase_1,15152,-1,1673513932.110612,5
15.419721,38.089362,eyesopen_element_pre,NULL,-1,1673513932.110612,6
53.509083,171.838681,active_period,true,-1,1673513970.199974,7
53.579243,45.549763,phase_Instructions_Phase_1,15153,-1,1673513970.270134,8
53.579243,41.917007,instructions1,NULL,-1,1673513970.270134,9
95.496250,2.151589,instructionsfinal,NULL,-1,1673514012.187141,10
97.647839,1.481167,text_element_cqxq,NULL,-1,1673514014.338730,11
99.129006,19.566986,phase_Example,15154,-1,1673514015.819897,12
99.129006,1.208319,example1,NULL,-1,1673514015.819897,13
100.337325,0.506715,gap_element,auto_generated,-1,1673514017.028216,14
100.851836,1.231707,example2,NULL,-1,1673514017.542727,15
101.694109,0.000000,key_down,NULL,32,1673514018.385000,15
102.083543,0.522306,gap_element,auto_generated,-1,1673514018.774434,16
102.613644,1.208320,pattern,NULL,-1,1673514019.304535,17
103.821964,0.514511,gap_element,auto_generated,-1,1673514020.512855,18
104.336475,1.216115,example3,NULL,-1,1673514021.027366,19
104.768109,0.000000,key_down,NULL,32,1673514021.459000,19
105.552590,0.506715,gap_element,auto_generated,-1,1673514022.243481,20
106.067101,12.114381,text_element_m8fp,NULL,-1,1673514022.757992,21
118.181482,0.514510,gap_element,auto_generated,-1,1673514034.872373,22
118.695992,3.040289,phase_RSG,15155,-1,1673514035.386883,23
118.695992,1.013430,ready,NULL,-1,1673514035.386883,24
119.717218,1.005634,set,NULL,-1,1673514036.408109,25
120.730647,1.013430,go,NULL,-1,1673514037.421538,26
121.744077,34.207147,phase_Stimuli_phase_1,15151,-1,1673514038.434968,27
121.744077,0.639240,plain_hit,NULL,-1,1673514038.434968,28
122.385109,0.000000,key_down,NULL,32,1673514039.076000,28
122.398908,0.210482,gap_element,auto_generated,-1,1673514039.089799,29
122.609390,0.459941,plain_hit,NULL,-1,1673514039.300281,30
123.072109,0.000000,key_down,NULL,32,1673514039.763000,30
123.077126,0.210482,gap_element,auto_generated,-1,1673514039.768017,31
123.295404,0.335211,plain_hit,NULL,-1,1673514039.986295,32
123.632109,0.000000,key_down,NULL,32,1673514040.323000,32
123.638411,0.202686,gap_element,auto_generated,-1,1673514040.329302,33
123.841097,0.810743,pattern,NULL,-1,1673514040.531988,34
124.159109,0.000000,key_down,NULL,32,1673514040.850000,34
124.651840,0.218277,gap_element,auto_generated,-1,1673514041.342731,35
124.870117,0.810744,pattern,NULL,-1,1673514041.561008,36
125.680861,0.218277,gap_element,auto_generated,-1,1673514042.371752,37
125.899138,0.389781,plain_hit,NULL,-1,1673514042.590029,38
126.289109,0.000000,key_down,NULL,32,1673514042.980000,38
126.296714,0.210482,gap_element,auto_generated,-1,1673514042.987605,39
126.507196,0.389781,plain_hit,NULL,-1,1673514043.198087,40
126.896109,0.000000,key_down,NULL,32,1673514043.587000,40
126.896977,0.210481,gap_element,auto_generated,-1,1673514043.587868,41
127.115254,0.374189,plain_hit,NULL,-1,1673514043.806145,42
127.488109,0.000000,key_down,NULL,32,1673514044.179000,42
127.497239,0.210481,gap_element,auto_generated,-1,1673514044.188130,43
127.707720,0.374190,plain_hit,NULL,-1,1673514044.398611,44
128.080109,0.000000,key_down,NULL,32,1673514044.771000,44
128.081910,0.202685,gap_element,auto_generated,-1,1673514044.772801,45
128.292391,0.366394,plain_hit,NULL,-1,1673514044.983282,46
128.656109,0.000000,key_down,NULL,32,1673514045.347000,46
128.658785,0.218277,gap_element,auto_generated,-1,1673514045.349676,47
128.877062,0.343007,plain_hit,NULL,-1,1673514045.567953,48
129.216109,0.000000,key_down,NULL,32,1673514045.907000,48
129.220069,0.202686,gap_element,auto_generated,-1,1673514045.910960,49
129.430550,0.327416,plain_hit,NULL,-1,1673514046.121441,50
129.760109,0.000000,key_down,NULL,32,1673514046.451000,50
129.765762,0.210481,gap_element,auto_generated,-1,1673514046.456653,51
129.976243,1.208320,pattern,NULL,-1,1673514046.667134,52
131.192359,0.210482,gap_element,auto_generated,-1,1673514047.883250,53
131.410636,1.013430,pattern,NULL,-1,1673514048.101527,54
132.424066,0.218277,gap_element,auto_generated,-1,1673514049.114957,55
132.650138,0.358599,plain_hit,NULL,-1,1673514049.341029,56
133.009109,0.000000,key_down,NULL,32,1673514049.700000,56
133.016532,0.202686,gap_element,auto_generated,-1,1673514049.707423,57
133.227014,0.389780,plain_hit,NULL,-1,1673514049.917905,58
133.616109,0.000000,key_down,NULL,32,1673514050.307000,58
133.616794,0.218277,gap_element,auto_generated,-1,1673514050.307685,59
133.835071,0.296234,plain_hit,NULL,-1,1673514050.525962,60
134.128109,0.000000,key_down,NULL,32,1673514050.819000,60
134.131305,0.226072,gap_element,auto_generated,-1,1673514050.822196,61
134.357377,0.296234,plain_hit,NULL,-1,1673514051.048268,62
