latency,duration,type,marker_value,key,timestamp,marker_id
0.163716,8.809500,sensor_check,true,-1,1673527587.507244,1
8.981013,5.340272,sound_check,true,-1,1673527596.324541,2
8.981013,0.000000,published_date,2022-02-07T03:36:36.403880Z,-1,1673527596.324541,3
8.981013,5.340272,phase_calibration,calibration,-1,1673527596.324541,4
14.329081,26.194620,phase_Calibration_phase_1,15124,-1,1673527601.672609,5
14.329081,26.194620,eyesopen_element_pre,NULL,-1,1673527601.672609,6
40.531497,180.103606,active_period,true,-1,1673527627.875025,7
40.617253,4.046134,instructions1,NULL,-1,1673527627.960781,8
40.617253,56.240473,phase_Instructions,15125,-1,1673527627.960781,9
44.663387,2.845546,instructions2,NULL,-1,1673527632.006915,10
46.525472,0.000000,key_down,NULL,71,1673527633.869000,10
47.508933,2.962487,instructionsfinal,NULL,-1,1673527634.852461,11
50.472472,0.000000,key_down,NULL,80,1673527637.816000,11
50.479216,46.378510,text_element_31yn,NULL,-1,1673527637.822744,12
96.857726,3.048244,phase_RSG,15126,-1,1673527684.201254,13
96.857726,1.013483,ready,NULL,-1,1673527684.201254,14
97.879005,0.997890,set,NULL,-1,1673527685.222533,15
98.884691,1.021279,go,NULL,-1,1673527686.228219,16
99.905970,43.252307,phase_Stimuli_phase_1,15127,-1,1673527687.249498,17
99.905970,0.919930,match_purple,p,-1,1673527687.249498,18
100.825472,0.000000,key_down,p,80,1673527688.169000,18
100.833696,0.210492,gap_element,auto_generated,-1,1673527688.177224,19
101.044188,1.286343,catch_red,r,-1,1673527688.387716,20
102.328472,0.000000,key_down,r,82,1673527689.672000,20
102.330531,0.210493,gap_element,auto_generated,-1,1673527689.674059,21
102.541024,1.325323,catch_orange,o,-1,1673527689.884552,22
103.863472,0.000000,key_down,o,79,1673527691.207000,22
103.866347,0.210492,gap_element,auto_generated,-1,1673527691.209875,23
104.084635,1.333119,catch_green,g,-1,1673527691.428163,24
105.416472,0.000000,key_down,g,71,1673527692.760000,24
105.417754,0.210493,gap_element,auto_generated,-1,1673527692.761282,25
105.636043,0.951114,catch_green,g,-1,1673527692.979571,26
106.583472,0.000000,key_down,g,71,1673527693.927000,26
106.587157,0.210492,gap_element,auto_generated,-1,1673527693.930685,27
106.797649,1.372099,catch_red,r,-1,1673527694.141177,28
108.168472,0.000000,key_down,r,82,1673527695.512000,28
108.169748,0.210493,gap_element,auto_generated,-1,1673527695.513276,29
108.388037,0.802990,match_red,r,-1,1673527695.731565,30
109.191472,0.000000,key_down,r,82,1673527696.535000,30
109.198823,0.210492,gap_element,auto_generated,-1,1673527696.542351,31
109.409315,0.997891,catch_purple,p,-1,1673527696.752843,32
110.407472,0.000000,key_down,p,80,1673527697.751000,32
110.415002,0.210492,gap_element,auto_generated,-1,1673527697.758530,33
110.625494,2.502522,catch_purple,p,-1,1673527697.969022,34
111.561472,0.000000,key_down,p,71,1673527698.905000,34
113.127472,0.000000,key_down,p,80,1673527700.471000,34
113.135812,0.202696,gap_element,auto_generated,-1,1673527700.479340,35
113.346304,1.044667,catch_red,r,-1,1673527700.689832,36
114.391472,0.000000,key_down,r,82,1673527701.735000,36
114.398767,0.202696,gap_element,auto_generated,-1,1673527701.742295,37
114.609259,1.333119,catch_purple,p,-1,1673527701.952787,38
115.943472,0.000000,key_down,p,80,1673527703.287000,38
115.950174,0.210493,gap_element,auto_generated,-1,1673527703.293702,39
116.160667,1.465651,catch_orange,o,-1,1673527703.504195,40
117.624472,0.000000,key_down,o,79,1673527704.968000,40
117.634114,0.210493,gap_element,auto_generated,-1,1673527704.977642,41
117.844607,0.787397,catch_green,g,-1,1673527705.188135,42
118.631472,0.000000,key_down,g,71,1673527705.975000,42
118.639800,0.202697,gap_element,auto_generated,-1,1673527705.983328,43
118.842497,0.717234,match_green,g,-1,1673527706.186025,44
119.560472,0.000000,key_down,g,71,1673527706.904000,44
119.567527,0.210492,gap_element,auto_generated,-1,1673527706.911055,45
119.778019,0.904338,match_orange,o,-1,1673527707.121547,46
120.679472,0.000000,key_down,o,79,1673527708.023000,46
120.682357,0.218289,gap_element,auto_generated,-1,1673527708.025885,47
120.900646,1.107034,catch_orange,o,-1,1673527708.244174,48
122.008472,0.000000,key_down,o,79,1673527709.352000,48
122.015476,0.233881,gap_element,auto_generated,-1,1673527709.359004,49
122.249357,0.958910,catch_green,g,-1,1673527709.592885,50
123.208472,0.000000,key_down,g,71,1673527710.552000,50
123.216063,0.210493,gap_element,auto_generated,-1,1673527710.559591,51
123.426556,1.060258,catch_purple,p,-1,1673527710.770084,52
124.487472,0.000000,key_down,p,80,1673527711.831000,52
124.494610,0.202697,gap_element,auto_generated,-1,1673527711.838138,53
124.705103,0.779601,catch_red,r,-1,1673527712.048631,54
125.480472,0.000000,key_down,r,82,1673527712.824000,54
125.484704,0.218289,gap_element,auto_generated,-1,1673527712.828232,55
125.702993,0.670457,catch_red,r,-1,1673527713.046521,56
126.375472,0.000000,key_down,r,82,1673527713.719000,56
126.381246,0.202697,gap_element,auto_generated,-1,1673527713.724774,57
126.591739,0.662661,catch_red,r,-1,1673527713.935267,58
127.255472,0.000000,key_down,r,82,1673527714.599000,58
127.262196,0.218289,gap_element,auto_generated,-1,1673527714.605724,59
127.480485,1.278547,catch_green,g,-1,1673527714.824013,60
128.759472,0.000000,key_down,g,71,1673527716.103000,60
128.766828,0.202696,gap_element,auto_generated,-1,1673527716.110356,61
128.977320,1.496836,catch_purple,p,-1,1673527716.320848,62
130.471472,0.000000,key_down,p,80,1673527717.815000,62
130.474156,0.218288,gap_element,auto_generated,-1,1673527717.817684,63
130.692444,0.865358,match_purple,p,-1,1673527718.035972,64
131.559472,0.000000,key_down,p,80,1673527718.903000,64
131.565598,0.210493,gap_element,auto_generated,-1,1673527718.909126,65
131.783887,1.021278,catch_orange,o,-1,1673527719.127415,66
132.807472,0.000000,key_down,o,79,1673527720.151000,66
