latency,duration,type,marker_value,key,timestamp,marker_id
0.187099,16.760933,sensor_check,true,-1,1673522956.614539,1
16.948032,0.000000,published_date,2022-02-07T03:36:36.403880Z,-1,1673522973.375472,2
16.948032,6.680987,phase_calibration,calibration,-1,1673522973.375472,3
16.948032,6.680987,sound_check,true,-1,1673522973.375472,4
23.629019,27.947882,eyesopen_element_pre,NULL,-1,1673522980.056459,5
23.629019,27.947882,phase_Calibration_phase_1,15124,-1,1673522980.056459,6
51.576901,143.216333,active_period,true,-1,1673523008.004341,7
51.693838,5.955978,instructions1,NULL,-1,1673523008.121278,8
51.693838,20.424952,phase_Instructions,15125,-1,1673523008.121278,9
57.649816,2.923419,instructions2,NULL,-1,1673523014.077256,10
59.718560,0.000000,key_down,NULL,71,1673523016.146000,10
60.573235,1.223938,instructionsfinal,NULL,-1,1673523017.000675,11
61.797560,0.000000,key_down,NULL,80,1673523018.225000,11
61.804969,10.313821,text_element_31yn,NULL,-1,1673523018.232409,12
72.118790,3.040355,phase_RSG,15126,-1,1673523028.546230,13
72.118790,1.013452,ready,NULL,-1,1673523028.546230,14
73.132242,1.005656,set,NULL,-1,1673523029.559682,15
74.145694,1.013451,go,NULL,-1,1673523030.573134,16
75.166941,1.052431,catch_orange,o,-1,1673523031.594381,17
75.166941,48.162349,phase_Stimuli_phase_1,15127,-1,1673523031.594381,18
75.701560,0.000000,key_down,o,82,1673523032.129000,17
76.214560,0.000000,key_down,o,79,1673523032.642000,17
76.219372,0.218282,gap_element,auto_generated,-1,1673523032.646812,19
76.437654,5.004893,catch_green,g,-1,1673523032.865094,20
77.925560,0.000000,key_down,g,82,1673523034.353000,20
81.450342,0.210487,gap_element,auto_generated,-1,1673523037.877782,21
81.668624,1.925559,catch_orange,o,-1,1673523038.096064,22
81.861560,0.000000,key_down,o,71,1673523038.289000,22
83.590560,0.000000,key_down,o,79,1673523040.018000,22
83.594183,0.202690,gap_element,auto_generated,-1,1673523040.021623,23
83.796873,0.865332,catch_red,r,-1,1673523040.224313,24
84.661560,0.000000,key_down,r,82,1673523041.089000,24
84.670001,0.218282,gap_element,auto_generated,-1,1673523041.097441,25
84.888283,0.958881,match_red,r,-1,1673523041.315723,26
85.845560,0.000000,key_down,r,82,1673523042.273000,26
85.847164,0.210486,gap_element,auto_generated,-1,1673523042.274604,27
86.065446,0.709416,match_purple,p,-1,1673523042.492886,28
86.773560,0.000000,key_down,p,80,1673523043.201000,28
