latency,duration,type,marker_value,key,timestamp,marker_id
0.148112,2.853118,sensor_check,true,-1,1673352961.760037,1
3.009026,0.000000,published_date,2022-02-07T03:38:14.751783Z,-1,1673352964.620951,2
3.009026,47.637715,phase_calibration,calibration,-1,1673352964.620951,3
3.009026,47.637715,sound_check,true,-1,1673352964.620951,4
50.654537,31.056891,eyesopen_element_pre,NULL,-1,1673353012.266462,5
50.654537,31.056891,phase_Calibration_phase_1,15152,-1,1673353012.266462,6
81.719223,132.295807,active_period,true,-1,1673353043.331148,7
81.804972,13.158643,phase_Instructions_Phase_1,15153,-1,1673353043.416897,8
81.804972,9.931346,instructions1,NULL,-1,1673353043.416897,9
91.736318,1.590262,instructionsfinal,NULL,-1,1673353053.348243,10
93.326580,1.637035,text_element_cqxq,NULL,-1,1673353054.938505,11
94.963615,11.163019,phase_Example,15154,-1,1673353056.575540,12
94.963615,1.216083,example1,NULL,-1,1673353056.575540,13
95.557075,0.000000,key_down,NULL,32,1673353057.169000,13
96.187494,0.514496,gap_element,auto_generated,-1,1673353057.799419,14
96.701990,1.208288,example2,NULL,-1,1673353058.313915,15
97.402075,0.000000,key_down,NULL,32,1673353059.014000,15
97.910278,0.506701,gap_element,auto_generated,-1,1673353059.522203,16
98.424774,1.216083,pattern,NULL,-1,1673353060.036699,17
99.640857,0.506702,gap_element,auto_generated,-1,1673353061.252782,18
100.147559,1.216083,example3,NULL,-1,1673353061.759484,19
100.570075,0.000000,key_down,NULL,32,1673353062.182000,19
101.371437,0.514497,gap_element,auto_generated,-1,1673353062.983362,20
101.893729,3.733999,text_element_m8fp,NULL,-1,1673353063.505654,21
105.627728,0.498906,gap_element,auto_generated,-1,1673353067.239653,22
106.134429,3.048003,phase_RSG,15155,-1,1673353067.746354,23
106.134429,1.013403,ready,NULL,-1,1673353067.746354,24
107.155627,1.005607,set,NULL,-1,1673353068.767552,25
108.169030,1.013402,go,NULL,-1,1673353069.780955,26
109.182432,35.406727,phase_Stimuli_phase_1,15151,-1,1673353070.794357,27
109.182432,0.491111,plain_hit,NULL,-1,1673353070.794357,28
109.675075,0.000000,key_down,NULL,32,1673353071.287000,28
109.689134,0.202680,gap_element,auto_generated,-1,1673353071.301059,29
109.891814,0.810722,pattern,NULL,-1,1673353071.503739,30
110.702536,0.202681,gap_element,auto_generated,-1,1673353072.314461,31
110.913012,0.397566,plain_hit,NULL,-1,1673353072.524937,32
111.306075,0.000000,key_down,NULL,32,1673353072.918000,32
111.310578,0.210476,gap_element,auto_generated,-1,1673353072.922503,33
111.528849,0.467724,plain_hit,NULL,-1,1673353073.140774,34
111.994075,0.000000,key_down,NULL,32,1673353073.606000,34
111.996573,0.210476,gap_element,auto_generated,-1,1673353073.608498,35
112.207049,0.366384,plain_hit,NULL,-1,1673353073.818974,36
112.570075,0.000000,key_down,NULL,32,1673353074.182000,36
112.573433,0.210476,gap_element,auto_generated,-1,1673353074.185358,37
112.783909,1.216083,pattern,NULL,-1,1673353074.395834,38
114.007788,0.210476,gap_element,auto_generated,-1,1673353075.619713,39
114.226059,0.327407,plain_hit,NULL,-1,1673353075.837984,40
114.554075,0.000000,key_down,NULL,32,1673353076.166000,40
114.561261,0.202681,gap_element,auto_generated,-1,1673353076.173186,41
114.763942,1.005607,pattern,NULL,-1,1673353076.375867,42
115.769549,0.218271,gap_element,auto_generated,-1,1673353077.381474,43
115.987820,0.327407,plain_hit,NULL,-1,1673353077.599745,44
116.314075,0.000000,key_down,NULL,32,1673353077.926000,44
116.315227,0.210476,gap_element,auto_generated,-1,1673353077.927152,45
116.525703,0.428748,plain_hit,NULL,-1,1673353078.137628,46
116.954075,0.000000,key_down,NULL,32,1673353078.566000,46
116.962246,0.210476,gap_element,auto_generated,-1,1673353078.574171,47
117.180517,0.366384,plain_hit,NULL,-1,1673353078.792442,48
117.545075,0.000000,key_down,NULL,32,1673353079.157000,48
117.546901,0.210476,gap_element,auto_generated,-1,1673353079.158826,49
117.765172,0.374180,plain_hit,NULL,-1,1673353079.377097,50
118.137075,0.000000,key_down,NULL,32,1673353079.749000,50
118.139352,0.210476,gap_element,auto_generated,-1,1673353079.751277,51
118.349828,0.810722,pattern,NULL,-1,1673353079.961753,52
119.168345,0.218272,gap_element,auto_generated,-1,1673353080.780270,53
119.386617,0.350793,plain_hit,NULL,-1,1673353080.998542,54
119.738075,0.000000,key_down,NULL,32,1673353081.350000,54
119.745205,0.202681,gap_element,auto_generated,-1,1673353081.357130,55
119.955681,0.389770,plain_hit,NULL,-1,1673353081.567606,56
120.346075,0.000000,key_down,NULL,32,1673353081.958000,56
120.353247,0.202680,gap_element,auto_generated,-1,1673353081.965172,57
120.555927,0.335203,plain_hit,NULL,-1,1673353082.167852,58
120.889075,0.000000,key_down,NULL,32,1673353082.501000,58
120.891130,0.218271,gap_element,auto_generated,-1,1673353082.503055,59
121.117196,0.319612,plain_hit,NULL,-1,1673353082.729121,60
121.434075,0.000000,key_down,NULL,32,1673353083.046000,60
121.436808,0.202680,gap_element,auto_generated,-1,1673353083.048733,61
121.647284,0.459929,plain_hit,NULL,-1,1673353083.259209,62
122.106075,0.000000,key_down,NULL,32,1673353083.718000,62
122.107213,0.218271,gap_element,auto_generated,-1,1673353083.719138,63
122.333280,0.335202,plain_hit,NULL,-1,1673353083.945205,64
122.666075,0.000000,key_down,NULL,32,1673353084.278000,64
122.668482,0.210476,gap_element,auto_generated,-1,1673353084.280407,65
122.878958,0.826313,pattern,NULL,-1,1673353084.490883,66
123.705271,0.202680,gap_element,auto_generated,-1,1673353085.317196,67
123.907951,0.374179,plain_hit,NULL,-1,1673353085.519876,68
124.282075,0.000000,key_down,NULL,32,1673353085.894000,68
124.289926,0.202680,gap_element,auto_generated,-1,1673353085.901851,69
124.500402,0.296225,plain_hit,NULL,-1,1673353086.112327,70
124.794075,0.000000,key_down,NULL,32,1673353086.406000,70
124.796627,0.202681,gap_element,auto_generated,-1,1673353086.408552,71
125.007103,0.296226,plain_hit,NULL,-1,1673353086.619028,72
125.306075,0.000000,key_down,NULL,32,1673353086.918000,72
125.311124,0.210476,gap_element,auto_generated,-1,1673353086.923049,73
125.521600,0.296225,plain_hit,NULL,-1,1673353087.133525,74
125.817075,0.000000,key_down,NULL,32,1673353087.429000,74
125.825621,0.202680,gap_element,auto_generated,-1,1673353087.437546,75
126.028301,0.304021,plain_hit,NULL,-1,1673353087.640226,76
126.330075,0.000000,key_down,NULL,32,1673353087.942000,76
126.332322,0.210476,gap_element,auto_generated,-1,1673353087.944247,77
126.550593,0.311816,plain_hit,NULL,-1,1673353088.162518,78
126.858075,0.000000,key_down,NULL,32,1673353088.470000,78
126.862409,0.202681,gap_element,auto_generated,-1,1673353088.474334,79
127.065090,1.223878,pattern,NULL,-1,1673353088.677015,80
128.288968,0.226067,gap_element,auto_generated,-1,1673353089.900893,81
128.515035,0.818518,pattern,NULL,-1,1673353090.126960,82
129.341348,0.202681,gap_element,auto_generated,-1,1673353090.953273,83
129.544029,0.389770,plain_hit,NULL,-1,1673353091.155954,84
