latency,duration,type,marker_value,key,timestamp,marker_id
0.148113,3.492335,sensor_check,true,-1,1673353269.435675,1
3.640448,0.000000,published_date,2022-02-07T03:36:36.403880Z,-1,1673353272.928010,2
3.640448,4.755189,phase_calibration,calibration,-1,1673353272.928010,3
3.640448,4.755189,sound_check,true,-1,1673353272.928010,4
8.395637,28.460974,phase_Calibration_phase_1,15124,-1,1673353277.683199,5
8.395637,28.460974,eyesopen_element_pre,NULL,-1,1673353277.683199,6
36.856611,142.281486,active_period,true,-1,1673353306.144173,7
36.942360,23.277039,phase_Instructions,15125,-1,1673353306.229922,8
36.950156,9.720853,instructions1,NULL,-1,1673353306.237718,9
46.671009,3.648243,instructions2,NULL,-1,1673353315.958571,10
48.894438,0.000000,key_down,NULL,71,1673353318.182000,10
50.319252,2.190505,instructionsfinal,NULL,-1,1673353319.606814,11
52.509438,0.000000,key_down,NULL,80,1673353321.797000,11
52.517553,7.701846,text_element_31yn,NULL,-1,1673353321.805115,12
60.219399,1.013401,ready,NULL,-1,1673353329.506961,13
60.219399,3.047998,phase_RSG,15126,-1,1673353329.506961,14
61.240596,1.005605,set,NULL,-1,1673353330.528158,15
62.253997,1.013400,go,NULL,-1,1673353331.541559,16
63.267397,35.118239,phase_Stimuli_phase_1,15127,-1,1673353332.554959,17
63.267397,0.841903,catch_orange,o,-1,1673353332.554959,18
64.109438,0.000000,key_down,o,79,1673353333.397000,18
64.117095,0.210476,gap_element,auto_generated,-1,1673353333.404657,19
64.335366,1.294035,match_purple,p,-1,1673353333.622928,20
65.629438,0.000000,key_down,p,80,1673353334.917000,20
65.637197,0.210475,gap_element,auto_generated,-1,1673353334.924759,21
65.847672,1.013401,catch_red,r,-1,1673353335.135234,22
66.861438,0.000000,key_down,r,82,1673353336.149000,22
66.868868,0.210476,gap_element,auto_generated,-1,1673353336.156430,23
67.087139,1.106946,match_orange,o,-1,1673353336.374701,24
68.189438,0.000000,key_down,o,79,1673353337.477000,24
68.194085,0.202680,gap_element,auto_generated,-1,1673353337.481647,25
68.404561,1.145922,catch_purple,p,-1,1673353337.692123,26
69.549438,0.000000,key_down,p,80,1673353338.837000,26
69.558278,0.210476,gap_element,auto_generated,-1,1673353338.845840,27
