latency,duration,type,marker_value,key,timestamp,marker_id
0.125174,5.028393,sensor_check,true,-1,1673348618.974201,1
5.153567,0.000000,published_date,2022-02-07T03:38:14.751783Z,-1,1673348624.002594,2
5.153567,3.203695,phase_calibration,calibration,-1,1673348624.002594,3
5.153567,3.203695,sound_check,true,-1,1673348624.002594,4
8.357262,33.905316,phase_Calibration_phase_1,15152,-1,1673348627.206289,5
8.357262,33.905316,eyesopen_element_pre,NULL,-1,1673348627.206289,6
42.270482,128.253529,active_period,true,-1,1673348661.119509,7
42.364734,15.953137,phase_Instructions_Phase_1,15153,-1,1673348661.213761,8
42.364734,11.558699,instructions1,NULL,-1,1673348661.213761,9
53.923433,2.672029,instructionsfinal,NULL,-1,1673348672.772460,10
56.595462,1.722409,text_element_cqxq,NULL,-1,1673348675.444489,11
58.325575,12.437655,phase_Example,15154,-1,1673348677.174602,12
58.325575,1.204744,example1,NULL,-1,1673348677.174602,13
59.298973,0.000000,key_down,NULL,32,1673348678.148000,13
59.538223,0.512468,gap_element,auto_generated,-1,1673348678.387250,14
60.050691,1.201617,example2,NULL,-1,1673348678.899718,15
60.562973,0.000000,key_down,NULL,32,1673348679.412000,15
61.252308,0.529185,gap_element,auto_generated,-1,1673348680.101335,16
61.781493,1.222755,pattern,NULL,-1,1673348680.630520,17
63.004248,0.506172,gap_element,auto_generated,-1,1673348681.853275,18
63.510420,1.209444,example3,NULL,-1,1673348682.359447,19
63.906973,0.000000,key_down,NULL,32,1673348682.756000,19
64.727668,0.502363,gap_element,auto_generated,-1,1673348683.576695,20
65.230031,5.008524,text_element_m8fp,NULL,-1,1673348684.079058,21
67.169973,0.000000,key_down,NULL,32,1673348686.019000,21
70.238555,0.524675,gap_element,auto_generated,-1,1673348689.087582,22
70.763230,3.028297,phase_RSG,15155,-1,1673348689.612257,23
70.763230,1.008932,ready,NULL,-1,1673348689.612257,24
71.772162,1.008833,set,NULL,-1,1673348690.621189,25
72.780995,1.010532,go,NULL,-1,1673348691.630022,26
73.791527,35.705255,phase_Stimuli_phase_1,15151,-1,1673348692.640554,27
73.791527,0.515674,plain_hit,NULL,-1,1673348692.640554,28
74.307973,0.000000,key_down,NULL,32,1673348693.157000,28
74.315105,0.203307,gap_element,auto_generated,-1,1673348693.164132,29
74.518412,0.428729,plain_hit,NULL,-1,1673348693.367439,30
74.946973,0.000000,key_down,NULL,32,1673348693.796000,30
74.947141,0.211312,gap_element,auto_generated,-1,1673348693.796168,31
75.166257,1.002029,pattern,NULL,-1,1673348694.015284,32
76.175990,0.203008,gap_element,auto_generated,-1,1673348695.025017,33
76.378998,0.328774,plain_hit,NULL,-1,1673348695.228025,34
76.706973,0.000000,key_down,NULL,32,1673348695.556000,34
76.715476,0.210512,gap_element,auto_generated,-1,1673348695.564503,35
76.933792,0.413221,plain_hit,NULL,-1,1673348695.782819,36
77.346973,0.000000,key_down,NULL,32,1673348696.196000,36
77.354817,0.202808,gap_element,auto_generated,-1,1673348696.203844,37
77.565529,0.358892,plain_hit,NULL,-1,1673348696.414556,38
77.922973,0.000000,key_down,NULL,32,1673348696.772000,38
