latency,duration,type,marker_value,key,timestamp,marker_id
0.163708,43.382735,sensor_check,true,-1,1673349091.269372,1
43.546443,0.000000,published_date,2022-02-07T03:36:36.403880Z,-1,1673349134.652107,2
43.546443,7.164193,phase_calibration,calibration,-1,1673349134.652107,3
43.546443,7.164193,sound_check,true,-1,1673349134.652107,4
50.718432,30.512134,phase_Calibration_phase_1,15124,-1,1673349141.824096,5
50.718432,30.512134,eyesopen_element_pre,NULL,-1,1673349141.824096,6
81.238361,141.670161,active_period,true,-1,1673349172.344025,7
81.339705,29.444131,phase_Instructions,15125,-1,1673349172.445369,8
81.339705,18.881039,instructions1,NULL,-1,1673349172.445369,9
100.220744,4.786523,instructions2,NULL,-1,1673349191.326408,10
103.700336,0.000000,key_down,NULL,71,1673349194.806000,10
105.007267,2.034662,instructionsfinal,NULL,-1,1673349196.112931,11
107.042336,0.000000,key_down,NULL,80,1673349198.148000,11
107.049724,3.734112,text_element_31yn,NULL,-1,1673349198.155388,12
110.783836,3.071482,phase_RSG,15126,-1,1673349201.889500,13
110.783836,1.021229,ready,NULL,-1,1673349201.889500,14
111.812860,1.021229,set,NULL,-1,1673349202.918524,15
112.834089,1.021229,go,NULL,-1,1673349203.939753,16
113.863114,36.078220,phase_Stimuli_phase_1,15127,-1,1673349204.968778,17
113.863114,1.676062,catch_orange,o,-1,1673349204.968778,18
115.061336,0.000000,key_down,o,80,1673349206.167000,18
115.538336,0.000000,key_down,o,79,1673349206.644000,18
115.546972,0.210482,gap_element,auto_generated,-1,1673349206.652636,19
115.757454,0.935477,catch_green,g,-1,1673349206.863118,20
116.690336,0.000000,key_down,g,71,1673349207.796000,20
116.692931,0.218278,gap_element,auto_generated,-1,1673349207.798595,21
116.911209,0.693811,catch_red,r,-1,1673349208.016873,22
117.602336,0.000000,key_down,r,82,1673349208.708000,22
117.605020,0.210483,gap_element,auto_generated,-1,1673349208.710684,23
117.823298,0.576878,catch_red,r,-1,1673349208.928962,24
118.402336,0.000000,key_down,r,82,1673349209.508000,24
118.407971,0.202687,gap_element,auto_generated,-1,1673349209.513635,25
118.618454,1.559128,match_orange,o,-1,1673349209.724118,26
120.178336,0.000000,key_down,o,79,1673349211.284000,26
120.185377,0.210482,gap_element,auto_generated,-1,1673349211.291041,27
120.395859,0.678221,catch_green,g,-1,1673349211.501523,28
121.074336,0.000000,key_down,g,71,1673349212.180000,28
121.081876,0.210482,gap_element,auto_generated,-1,1673349212.187540,29
121.300154,0.608060,match_purple,p,-1,1673349212.405818,30
121.906336,0.000000,key_down,p,80,1673349213.012000,30
121.908214,0.210482,gap_element,auto_generated,-1,1673349213.013878,31
122.118696,1.449989,catch_orange,o,-1,1673349213.224360,32
123.570336,0.000000,key_down,o,79,1673349214.676000,32
123.576481,0.210482,gap_element,auto_generated,-1,1673349214.682145,33
123.786963,0.678220,match_green,g,-1,1673349214.892627,34
124.467336,0.000000,key_down,g,71,1673349215.573000,34
124.472979,0.210482,gap_element,auto_generated,-1,1673349215.578643,35
124.691257,0.880907,catch_orange,o,-1,1673349215.796921,36
125.571336,0.000000,key_down,o,79,1673349216.677000,36
125.572164,0.218278,gap_element,auto_generated,-1,1673349216.677828,37
125.790442,0.802951,catch_red,r,-1,1673349216.896106,38
126.594336,0.000000,key_down,r,82,1673349217.700000,38
126.601189,0.202686,gap_element,auto_generated,-1,1673349217.706853,39
126.811671,0.569082,match_red,r,-1,1673349217.917335,40
127.378336,0.000000,key_down,r,82,1673349218.484000,40
127.380753,0.210482,gap_element,auto_generated,-1,1673349218.486417,41
127.591235,1.099185,catch_green,g,-1,1673349218.696899,42
128.691336,0.000000,key_down,g,71,1673349219.797000,42
128.698216,0.218278,gap_element,auto_generated,-1,1673349219.803880,43
128.916494,0.686016,catch_purple,p,-1,1673349220.022158,44
129.602336,0.000000,key_down,p,80,1673349220.708000,44
129.610306,0.210482,gap_element,auto_generated,-1,1673349220.715970,45
129.828584,0.701607,catch_purple,p,-1,1673349220.934248,46
130.530336,0.000000,key_down,p,80,1673349221.636000,46
130.537987,0.202686,gap_element,auto_generated,-1,1673349221.643651,47
130.748469,3.913411,catch_purple,p,-1,1673349221.854133,48
131.666336,0.000000,key_down,p,71,1673349222.772000,48
132.114336,0.000000,key_down,p,79,1673349223.220000,48
132.946336,0.000000,key_down,p,82,1673349224.052000,48
133.938336,0.000000,key_down,p,79,1673349225.044000,48
134.658336,0.000000,key_down,p,80,1673349225.764000,48
134.661880,0.226074,gap_element,auto_generated,-1,1673349225.767544,49
134.887954,0.873111,catch_red,r,-1,1673349225.993618,50
135.763336,0.000000,key_down,r,82,1673349226.869000,50
135.768861,0.210482,gap_element,auto_generated,-1,1673349226.874525,51
135.979343,0.491126,match_red,r,-1,1673349227.085007,52
136.466336,0.000000,key_down,r,82,1673349227.572000,52
136.470469,0.202686,gap_element,auto_generated,-1,1673349227.576133,53
136.680951,0.935477,catch_orange,o,-1,1673349227.786615,54
137.618336,0.000000,key_down,o,79,1673349228.724000,54
137.624223,0.210482,gap_element,auto_generated,-1,1673349228.729887,55
137.834705,0.584673,catch_red,r,-1,1673349228.940369,56
138.418336,0.000000,key_down,r,82,1673349229.524000,56
138.419378,0.218278,gap_element,auto_generated,-1,1673349229.525042,57
138.637656,0.802951,match_green,g,-1,1673349229.743320,58
139.442336,0.000000,key_down,g,71,1673349230.548000,58
139.448403,0.218278,gap_element,auto_generated,-1,1673349230.554067,59
139.666681,0.701607,catch_purple,p,-1,1673349230.772345,60
140.371336,0.000000,key_down,p,80,1673349231.477000,60
140.376084,0.210482,gap_element,auto_generated,-1,1673349231.481748,61
140.586566,0.444352,match_purple,p,-1,1673349231.692230,62
141.026336,0.000000,key_down,p,80,1673349232.132000,62
141.030918,0.210482,gap_element,auto_generated,-1,1673349232.136582,63
141.241400,0.413169,catch_purple,p,-1,1673349232.347064,64
141.652336,0.000000,key_down,p,80,1673349232.758000,64
141.654569,0.218278,gap_element,auto_generated,-1,1673349232.760233,65
141.872847,1.075798,catch_green,g,-1,1673349232.978511,66
142.546336,0.000000,key_down,g,79,1673349233.652000,66
142.946336,0.000000,key_down,g,71,1673349234.052000,66
142.948645,0.218278,gap_element,auto_generated,-1,1673349234.054309,67
143.174719,0.857520,catch_green,g,-1,1673349234.280383,68
144.034336,0.000000,key_down,g,71,1673349235.140000,68
144.040035,0.202686,gap_element,auto_generated,-1,1673349235.145699,69
144.250517,0.951068,match_orange,o,-1,1673349235.356181,70
145.202336,0.000000,key_down,o,79,1673349236.308000,70
145.209381,0.218278,gap_element,auto_generated,-1,1673349236.315045,71
145.427659,0.748381,catch_purple,p,-1,1673349236.533323,72
146.178336,0.000000,key_down,p,80,1673349237.284000,72
146.183836,0.202686,gap_element,auto_generated,-1,1673349237.289500,73
