latency,duration,type,marker_value,key,timestamp,marker_id
0.163702,49.703308,sensor_check,true,-1,1673528360.553215,1
49.874805,0.000000,published_date,2022-02-07T03:38:14.751783Z,-1,1673528410.264318,2
49.874805,32.927662,phase_calibration,calibration,-1,1673528410.264318,3
49.874805,32.927662,sound_check,true,-1,1673528410.264318,4
82.810262,27.595625,phase_Calibration_phase_1,15152,-1,1673528443.199775,5
82.810262,27.603421,eyesopen_element_pre,NULL,-1,1673528443.199775,6
110.413683,150.458521,active_period,true,-1,1673528470.803196,7
110.499432,25.467488,phase_Instructions_Phase_1,15153,-1,1673528470.888945,8
110.499432,19.831432,instructions1,NULL,-1,1673528470.888945,9
130.330864,1.652619,instructionsfinal,NULL,-1,1673528490.720377,10
131.991279,3.975641,text_element_cqxq,NULL,-1,1673528492.380792,11
135.974715,13.010480,phase_Example,15154,-1,1673528496.364228,12
135.974715,1.208283,example1,NULL,-1,1673528496.364228,13
136.809487,0.001000,key_down,NULL,32,1673528497.199000,13
137.182998,0.506700,gap_element,auto_generated,-1,1673528497.572511,14
137.697493,1.200488,example2,NULL,-1,1673528498.087006,15
138.228487,0.000000,key_down,NULL,32,1673528498.618000,15
138.897981,0.514494,gap_element,auto_generated,-1,1673528499.287494,16
139.412475,1.208283,pattern,NULL,-1,1673528499.801988,17
140.620758,0.522290,gap_element,auto_generated,-1,1673528501.010271,18
141.143048,1.208283,example3,NULL,-1,1673528501.532561,19
141.635487,0.000000,key_down,NULL,32,1673528502.025000,19
142.359127,0.506699,gap_element,auto_generated,-1,1673528502.748640,20
142.873622,5.597078,text_element_m8fp,NULL,-1,1673528503.263135,21
148.478496,0.506699,gap_element,auto_generated,-1,1673528508.868009,22
148.985195,3.024605,phase_RSG,15155,-1,1673528509.374708,23
148.985195,1.005603,ready,NULL,-1,1673528509.374708,24
149.998594,1.005603,set,NULL,-1,1673528510.388107,25
151.004197,1.005603,go,NULL,-1,1673528511.393710,26
152.009800,41.097214,phase_Stimuli_phase_1,15151,-1,1673528512.399313,27
152.009800,0.818515,pattern,NULL,-1,1673528512.399313,28
152.828315,0.218270,gap_element,auto_generated,-1,1673528513.217828,29
153.046585,1.005603,pattern,NULL,-1,1673528513.436098,30
154.059984,0.218270,gap_element,auto_generated,-1,1673528514.449497,31
154.278254,0.475518,plain_hit,NULL,-1,1673528514.667767,32
154.756487,0.000000,key_down,NULL,32,1673528515.146000,32
154.769363,0.202679,gap_element,auto_generated,-1,1673528515.158876,33
154.979838,0.530085,plain_hit,NULL,-1,1673528515.369351,34
155.507487,0.000000,key_down,NULL,32,1673528515.897000,34
155.509923,0.210476,gap_element,auto_generated,-1,1673528515.899436,35
155.728194,0.498904,plain_hit,NULL,-1,1673528516.117707,36
156.227487,0.000000,key_down,NULL,32,1673528516.617000,36
156.234893,0.202680,gap_element,auto_generated,-1,1673528516.624406,37
156.445368,0.491109,plain_hit,NULL,-1,1673528516.834881,38
156.932487,0.000000,key_down,NULL,32,1673528517.322000,38
156.936477,0.202680,gap_element,auto_generated,-1,1673528517.325990,39
157.146952,0.506699,plain_hit,NULL,-1,1673528517.536465,40
157.651487,0.000000,key_down,NULL,32,1673528518.041000,40
157.653651,0.202680,gap_element,auto_generated,-1,1673528518.043164,41
157.864126,0.491109,plain_hit,NULL,-1,1673528518.253639,42
158.355487,0.000000,key_down,NULL,32,1673528518.745000,42
158.363030,0.210476,gap_element,auto_generated,-1,1673528518.752543,43
158.581301,0.467722,plain_hit,NULL,-1,1673528518.970814,44
159.044487,0.000000,key_down,NULL,32,1673528519.434000,44
159.049023,0.210475,gap_element,auto_generated,-1,1673528519.438536,45
