latency,duration,type,marker_value,key,timestamp,marker_id
0.171498,39.569459,sensor_check,true,-1,1673528725.810872,1
39.748752,11.989327,phase_calibration,calibration,-1,1673528765.388126,2
39.748752,0.000000,published_date,2022-02-07T03:36:36.403880Z,-1,1673528765.388126,3
39.748752,11.989327,sound_check,true,-1,1673528765.388126,4
51.738079,34.097087,phase_Calibration_phase_1,15124,-1,1673528777.377453,5
51.738079,34.097087,eyesopen_element_pre,NULL,-1,1673528777.377453,6
85.842961,165.457397,active_period,true,-1,1673528811.482335,7
85.944302,44.114176,phase_Instructions,15125,-1,1673528811.583676,8
85.944302,20.096544,instructions1,NULL,-1,1673528811.583676,9
106.040846,2.634846,instructions2,NULL,-1,1673528831.680220,10
107.185626,0.000000,key_down,NULL,71,1673528832.825000,10
108.675692,7.998082,instructionsfinal,NULL,-1,1673528834.315066,11
109.907626,0.000000,key_down,NULL,79,1673528835.547000,11
116.673626,0.000000,key_down,NULL,80,1673528842.313000,11
116.689365,13.369113,text_element_31yn,NULL,-1,1673528842.328739,12
130.058478,1.013403,ready,NULL,-1,1673528855.697852,13
130.058478,3.032412,phase_RSG,15126,-1,1673528855.697852,14
131.071881,1.005607,set,NULL,-1,1673528856.711255,15
132.077488,1.013402,go,NULL,-1,1673528857.716862,16
133.090890,46.710046,phase_Stimuli_phase_1,15127,-1,1673528858.730264,17
133.098685,1.239469,catch_red,r,-1,1673528858.738059,18
134.337626,0.000000,key_down,r,82,1673528859.977000,18
134.345949,0.210476,gap_element,auto_generated,-1,1673528859.985323,19
134.556425,0.771745,match_green,g,-1,1673528860.195799,20
135.329626,0.000000,key_down,g,71,1673528860.969000,20
135.335965,0.202681,gap_element,auto_generated,-1,1673528860.975339,21
135.538646,0.943243,match_orange,o,-1,1673528861.178020,22
136.481626,0.000000,key_down,o,79,1673528862.121000,22
136.489685,0.202680,gap_element,auto_generated,-1,1673528862.129059,23
136.692365,1.005607,catch_green,g,-1,1673528862.331739,24
137.697626,0.000000,key_down,g,71,1673528863.337000,24
137.705768,0.202680,gap_element,auto_generated,-1,1673528863.345142,25
137.916243,0.631428,match_red,r,-1,1673528863.555617,26
138.545626,0.000000,key_down,r,82,1673528864.185000,26
138.547671,0.218271,gap_element,auto_generated,-1,1673528864.187045,27
138.765942,0.865290,catch_purple,p,-1,1673528864.405316,28
139.633626,0.000000,key_down,p,80,1673528865.273000,28
139.639027,0.210476,gap_element,auto_generated,-1,1673528865.278401,29
139.849503,0.795131,catch_purple,p,-1,1673528865.488877,30
140.641626,0.000000,key_down,p,80,1673528866.281000,30
140.644634,0.218271,gap_element,auto_generated,-1,1673528866.284008,31
140.862905,0.834108,catch_red,r,-1,1673528866.502279,32
141.697626,0.000000,key_down,r,82,1673528867.337000,32
141.704808,0.202681,gap_element,auto_generated,-1,1673528867.344182,33
141.915284,1.161515,catch_green,g,-1,1673528867.554658,34
143.073626,0.000000,key_down,g,71,1673528868.713000,34
143.076799,0.202681,gap_element,auto_generated,-1,1673528868.716173,35
143.287275,0.732768,catch_red,r,-1,1673528868.926649,36
144.017626,0.000000,key_down,r,82,1673528869.657000,36
144.020043,0.210475,gap_element,auto_generated,-1,1673528869.659417,37
144.230518,1.434354,catch_green,g,-1,1673528869.869892,38
145.665626,0.000000,key_down,g,71,1673528871.305000,38
145.672668,0.210476,gap_element,auto_generated,-1,1673528871.312042,39
145.890939,1.566876,match_purple,p,-1,1673528871.530313,40
147.457626,0.000000,key_down,p,80,1673528873.097000,40
147.465610,0.202681,gap_element,auto_generated,-1,1673528873.104984,41
147.676086,1.379786,catch_orange,o,-1,1673528873.315460,42
149.057626,0.000000,key_down,o,79,1673528874.697000,42
149.063667,0.210476,gap_element,auto_generated,-1,1673528874.703041,43
149.274143,0.678200,catch_orange,o,-1,1673528874.913517,44
149.953626,0.000000,key_down,o,79,1673528875.593000,44
149.960139,0.202680,gap_element,auto_generated,-1,1673528875.599513,45
150.162819,0.483315,catch_orange,o,-1,1673528875.802193,46
150.641626,0.000000,key_down,o,79,1673528876.281000,46
150.646134,0.202680,gap_element,auto_generated,-1,1673528876.285508,47
150.856610,1.644829,catch_purple,p,-1,1673528876.495984,48
152.497626,0.000000,key_down,p,80,1673528878.137000,48
152.501439,0.226067,gap_element,auto_generated,-1,1673528878.140813,49
152.727506,1.067970,catch_red,r,-1,1673528878.366880,50
153.794626,0.000000,key_down,r,82,1673528879.434000,50
153.795476,0.218271,gap_element,auto_generated,-1,1673528879.434850,51
154.013747,3.188320,catch_purple,p,-1,1673528879.653121,52
154.737626,0.000000,key_down,p,79,1673528880.377000,52
157.201626,0.000000,key_down,p,80,1673528882.841000,52
157.209862,0.202680,gap_element,auto_generated,-1,1673528882.849236,53
157.412542,1.247265,catch_green,g,-1,1673528883.051916,54
158.658626,0.000000,key_down,g,71,1673528884.298000,54
158.659807,0.218271,gap_element,auto_generated,-1,1673528884.299181,55
158.878078,0.662609,match_red,r,-1,1673528884.517452,56
159.537626,0.000000,key_down,r,82,1673528885.177000,56
159.540687,0.210476,gap_element,auto_generated,-1,1673528885.180061,57
159.751163,0.919857,catch_orange,o,-1,1673528885.390537,58
160.673626,0.000000,key_down,o,79,1673528886.313000,58
160.678816,0.218271,gap_element,auto_generated,-1,1673528886.318190,59
160.897087,0.818517,catch_purple,p,-1,1673528886.536461,60
161.713626,0.000000,key_down,p,80,1673528887.353000,60
161.715604,0.202681,gap_element,auto_generated,-1,1673528887.354978,61
161.926080,0.810722,catch_green,g,-1,1673528887.565454,62
162.737626,0.000000,key_down,g,71,1673528888.377000,62
162.744597,0.210476,gap_element,auto_generated,-1,1673528888.383971,63
162.955073,0.873085,catch_orange,o,-1,1673528888.594447,64
163.825626,0.000000,key_down,o,79,1673528889.465000,64
163.828158,0.210476,gap_element,auto_generated,-1,1673528889.467532,65
164.046429,0.662609,match_purple,p,-1,1673528889.685803,66
164.705626,0.000000,key_down,p,80,1673528890.345000,66
164.709038,0.210476,gap_element,auto_generated,-1,1673528890.348412,67
164.919514,0.904267,catch_orange,o,-1,1673528890.558888,68
165.825626,0.000000,key_down,o,79,1673528891.465000,68
165.831576,0.210476,gap_element,auto_generated,-1,1673528891.470950,69
166.049847,1.122538,catch_red,r,-1,1673528891.689221,70
167.169626,0.000000,key_down,r,82,1673528892.809000,70
167.172385,0.210476,gap_element,auto_generated,-1,1673528892.811759,71
167.390656,3.905496,match_orange,o,-1,1673528893.030030,72
169.538626,0.000000,key_down,o,80,1673528895.178000,72
171.297626,0.000000,key_down,o,79,1673528896.937000,72
171.303948,0.202680,gap_element,auto_generated,-1,1673528896.943322,73
171.506628,1.824124,catch_red,r,-1,1673528897.146002,74
173.329626,0.000000,key_down,r,82,1673528898.969000,74
173.330752,0.218272,gap_element,auto_generated,-1,1673528898.970126,75
173.549024,0.818517,match_green,g,-1,1673528899.188398,76
174.369626,0.000000,key_down,g,71,1673528900.009000,76
174.375336,0.202681,gap_element,auto_generated,-1,1673528900.014710,77
174.585812,1.356400,catch_purple,p,-1,1673528900.225186,78
175.313626,0.000000,key_down,p,79,1673528900.953000,78
175.937626,0.000000,key_down,p,80,1673528901.577000,78
175.942212,0.218271,gap_element,auto_generated,-1,1673528901.581586,79
176.160483,3.422181,catch_green,g,-1,1673528901.799857,80
179.585626,0.000000,key_down,g,71,1673528905.225000,80
179.590460,0.210476,gap_element,auto_generated,-1,1673528905.229834,81
179.808731,2.011214,phase_Stimuli_phase_1a,15128,-1,1673528905.448105,82
179.808731,2.011214,faster,NULL,-1,1673528905.448105,83
181.827740,34.377721,phase_Stimuli_phase_2,15129,-1,1673528907.467114,84
181.827740,1.403172,catch_red,r,-1,1673528907.467114,85
