latency,duration,type,marker_value,key,timestamp,marker_id
0.124220,10.960025,sensor_check,true,-1,1673526618.627141,1
11.084245,0.000000,published_date,2022-02-07T03:36:36.403880Z,-1,1673526629.587166,2
11.084245,8.010662,phase_calibration,calibration,-1,1673526629.587166,3
11.084245,8.010662,sound_check,true,-1,1673526629.587166,4
19.094907,29.239604,phase_Calibration_phase_1,15124,-1,1673526637.597828,5
19.094907,29.239604,eyesopen_element_pre,NULL,-1,1673526637.597828,6
48.342312,199.118684,active_period,true,-1,1673526666.845233,7
48.428123,45.448548,instructions1,NULL,-1,1673526666.931044,8
48.428123,62.541579,phase_Instructions,15125,-1,1673526666.931044,9
91.166079,0.000000,key_down,NULL,79,1673526709.669000,8
93.876671,10.048568,instructions2,NULL,-1,1673526712.379592,10
95.631079,0.000000,key_down,NULL,82,1673526714.134000,10
103.040079,0.000000,key_down,NULL,71,1673526721.543000,10
103.925239,1.482731,instructionsfinal,NULL,-1,1673526722.428160,11
105.407079,0.000000,key_down,NULL,80,1673526723.910000,11
105.415670,5.554032,text_element_31yn,NULL,-1,1673526723.918591,12
110.977402,3.035378,phase_RSG,15126,-1,1673526729.480323,13
110.977402,1.003966,ready,NULL,-1,1673526729.480323,14
111.989268,1.003969,set,NULL,-1,1673526730.492189,15
112.993237,1.019543,go,NULL,-1,1673526731.496158,16
114.012780,46.137191,phase_Stimuli_phase_1,15127,-1,1673526732.515701,17
114.012780,5.022135,catch_purple,p,-1,1673526732.515701,18
115.439079,0.000000,key_down,p,79,1673526733.942000,18
119.034915,0.218809,gap_element,auto_generated,-1,1673526737.537836,19
119.253724,1.788367,catch_green,g,-1,1673526737.756645,20
121.039079,0.000000,key_down,g,71,1673526739.542000,20
121.042091,0.212010,gap_element,auto_generated,-1,1673526739.545012,21
121.254101,2.119613,catch_orange,o,-1,1673526739.757022,22
123.375079,0.000000,key_down,o,79,1673526741.878000,22
123.381615,0.212014,gap_element,auto_generated,-1,1673526741.884536,23
123.601530,1.114974,match_orange,o,-1,1673526742.104451,24
124.719079,0.000000,key_down,o,79,1673526743.222000,24
124.724405,0.211814,gap_element,auto_generated,-1,1673526743.227326,25
124.944020,1.084361,catch_red,r,-1,1673526743.446941,26
126.031079,0.000000,key_down,r,82,1673526744.534000,26
126.036081,0.209202,gap_element,auto_generated,-1,1673526744.539002,27
126.245283,3.804452,catch_orange,o,-1,1673526744.748204,28
130.047079,0.000000,key_down,o,79,1673526748.550000,28
130.049735,0.209202,gap_element,auto_generated,-1,1673526748.552656,29
130.258937,1.660033,catch_red,r,-1,1673526748.761858,30
131.919079,0.000000,key_down,r,82,1673526750.422000,30
131.926870,0.210604,gap_element,auto_generated,-1,1673526750.429791,31
132.145274,0.955411,match_red,r,-1,1673526750.648195,32
133.103079,0.000000,key_down,r,82,1673526751.606000,32
133.108585,0.210203,gap_element,auto_generated,-1,1673526751.611506,33
133.318788,0.920915,catch_green,g,-1,1673526751.821709,34
134.239079,0.000000,key_down,g,71,1673526752.742000,34
134.247503,0.202403,gap_element,auto_generated,-1,1673526752.750424,35
134.457706,1.145640,catch_green,g,-1,1673526752.960627,36
135.599079,0.000000,key_down,g,71,1673526754.102000,36
135.603346,0.211808,gap_element,auto_generated,-1,1673526754.106267,37
135.815154,0.886334,catch_purple,p,-1,1673526754.318075,38
136.703079,0.000000,key_down,p,80,1673526755.206000,38
136.709288,0.210310,gap_element,auto_generated,-1,1673526755.212209,39
136.927398,0.749832,catch_red,r,-1,1673526755.430319,40
137.679079,0.000000,key_down,r,82,1673526756.182000,40
137.685130,0.210909,gap_element,auto_generated,-1,1673526756.188051,41
137.903839,1.645073,match_purple,p,-1,1673526756.406760,42
139.551079,0.000000,key_down,p,80,1673526758.054000,42
139.556712,0.218110,gap_element,auto_generated,-1,1673526758.059633,43
139.774822,1.216454,match_green,g,-1,1673526758.277743,44
140.991079,0.000000,key_down,g,71,1673526759.494000,44
140.999176,0.202310,gap_element,auto_generated,-1,1673526759.502097,45
141.209386,0.935442,catch_orange,o,-1,1673526759.712307,46
142.143079,0.000000,key_down,o,79,1673526760.646000,46
142.144828,0.210609,gap_element,auto_generated,-1,1673526760.647749,47
142.355437,0.912140,catch_purple,p,-1,1673526760.858358,48
143.263079,0.000000,key_down,p,80,1673526761.766000,48
143.267577,0.218609,gap_element,auto_generated,-1,1673526761.770498,49
143.486186,0.884336,catch_red,r,-1,1673526761.989107,50
144.367079,0.000000,key_down,r,82,1673526762.870000,50
144.370522,0.211508,gap_element,auto_generated,-1,1673526762.873443,51
144.582030,1.160954,match_purple,p,-1,1673526763.084951,52
145.439079,0.000000,key_down,p,79,1673526763.942000,52
145.743079,0.000000,key_down,p,80,1673526764.246000,52
145.750884,0.196311,gap_element,auto_generated,-1,1673526764.253805,53
145.954995,1.321478,catch_orange,o,-1,1673526764.457916,54
147.279079,0.000000,key_down,o,79,1673526765.782000,54
147.284374,0.204214,gap_element,auto_generated,-1,1673526765.787295,55
147.496388,0.571839,catch_orange,o,-1,1673526765.999309,56
