latency,duration,type,marker_value,key,timestamp,marker_id
0.187089,6.587097,sensor_check,true,-1,1673521135.732092,1
6.781981,42.508212,phase_calibration,calibration,-1,1673521142.326984,2
6.781981,0.000000,published_date,2022-02-07T03:38:14.751783Z,-1,1673521142.326984,3
6.781981,42.508212,sound_check,true,-1,1673521142.326984,4
49.297989,30.939866,phase_Calibration_phase_1,15152,-1,1673521184.842992,5
49.297989,30.939866,eyesopen_element_pre,NULL,-1,1673521184.842992,6
80.245651,126.596986,active_period,true,-1,1673521215.790654,7
80.339196,14.655316,phase_Instructions_Phase_1,15153,-1,1673521215.884199,8
80.339196,5.815354,instructions1,NULL,-1,1673521215.884199,9
86.154550,4.490139,instructionsfinal,NULL,-1,1673521221.699553,10
90.644689,4.349823,text_element_cqxq,NULL,-1,1673521226.189692,11
94.994512,9.931315,phase_Example,15154,-1,1673521230.539515,12
94.994512,1.216079,example1,NULL,-1,1673521230.539515,13
95.630997,0.000000,key_down,NULL,32,1673521231.176000,13
96.218386,0.514496,gap_element,auto_generated,-1,1673521231.763389,14
96.732882,1.216079,example2,NULL,-1,1673521232.277885,15
97.040997,0.000000,key_down,NULL,32,1673521232.586000,15
97.948961,0.514495,gap_element,auto_generated,-1,1673521233.493964,16
98.463456,1.216079,pattern,NULL,-1,1673521234.008459,17
99.679535,0.514496,gap_element,auto_generated,-1,1673521235.224538,18
100.194031,1.208284,example3,NULL,-1,1673521235.739034,19
100.608997,0.000000,key_down,NULL,32,1673521236.154000,19
101.410110,0.506700,gap_element,auto_generated,-1,1673521236.955113,20
101.924605,2.494522,text_element_m8fp,NULL,-1,1673521237.469608,21
104.419127,0.506700,gap_element,auto_generated,-1,1673521239.964130,22
104.933622,3.040199,phase_RSG,15155,-1,1673521240.478625,23
104.933622,1.021195,ready,NULL,-1,1673521240.478625,24
105.962612,1.005605,set,NULL,-1,1673521241.507615,25
106.976012,0.997809,go,NULL,-1,1673521242.521015,26
107.981616,35.546937,phase_Stimuli_phase_1,15151,-1,1673521243.526619,27
107.981616,0.826310,pattern,NULL,-1,1673521243.526619,28
108.807926,0.210476,gap_element,auto_generated,-1,1673521244.352929,29
109.026197,0.350792,plain_hit,NULL,-1,1673521244.571200,30
109.376997,0.000000,key_down,NULL,32,1673521244.922000,30
109.384785,0.210475,gap_element,auto_generated,-1,1673521244.929788,31
109.603056,0.366382,plain_hit,NULL,-1,1673521245.148059,32
109.967997,0.000000,key_down,NULL,32,1673521245.513000,32
109.977234,0.202680,gap_element,auto_generated,-1,1673521245.522237,33
110.179914,0.304020,plain_hit,NULL,-1,1673521245.724917,34
110.480997,0.000000,key_down,NULL,32,1673521246.026000,34
110.483934,0.210475,gap_element,auto_generated,-1,1673521246.028937,35
110.694409,0.288429,plain_hit,NULL,-1,1673521246.239412,36
110.977997,0.000000,key_down,NULL,32,1673521246.523000,36
110.982838,0.218271,gap_element,auto_generated,-1,1673521246.527841,37
111.208904,0.374178,plain_hit,NULL,-1,1673521246.753907,38
111.583997,0.000000,key_down,NULL,32,1673521247.129000,38
111.590878,0.202679,gap_element,auto_generated,-1,1673521247.135881,39
111.793557,0.304020,plain_hit,NULL,-1,1673521247.338560,40
112.096997,0.000000,key_down,NULL,32,1673521247.642000,40
112.097577,0.218271,gap_element,auto_generated,-1,1673521247.642580,41
112.315848,0.296225,plain_hit,NULL,-1,1673521247.860851,42
112.608997,0.000000,key_down,NULL,32,1673521248.154000,42
112.612073,0.210475,gap_element,auto_generated,-1,1673521248.157076,43
112.830343,0.802924,pattern,NULL,-1,1673521248.375346,44
113.641063,0.202680,gap_element,auto_generated,-1,1673521249.186066,45
113.851538,0.179294,plain_hit,NULL,-1,1673521249.396541,46
114.031997,0.000000,key_down,NULL,32,1673521249.577000,46
114.038627,0.202680,gap_element,auto_generated,-1,1673521249.583630,47
114.249102,0.311816,plain_hit,NULL,-1,1673521249.794105,48
114.560997,0.000000,key_down,NULL,32,1673521250.106000,48
114.568713,0.202680,gap_element,auto_generated,-1,1673521250.113716,49
114.771393,0.288429,plain_hit,NULL,-1,1673521250.316396,50
115.055997,0.000000,key_down,NULL,32,1673521250.601000,50
115.059822,0.226066,gap_element,auto_generated,-1,1673521250.604825,51
115.285888,0.296225,plain_hit,NULL,-1,1673521250.830891,52
115.584997,0.000000,key_down,NULL,32,1673521251.130000,52
115.589908,0.202680,gap_element,auto_generated,-1,1673521251.134911,53
115.800383,0.997809,pattern,NULL,-1,1673521251.345386,54
116.126997,0.000000,key_down,NULL,32,1673521251.672000,54
116.805987,0.202680,gap_element,auto_generated,-1,1673521252.350990,55
117.016463,1.208284,pattern,NULL,-1,1673521252.561466,56
117.342997,0.000000,key_down,NULL,32,1673521252.888000,56
118.232542,0.210475,gap_element,auto_generated,-1,1673521253.777545,57
118.450813,0.545676,plain_hit,NULL,-1,1673521253.995816,58
118.991997,0.000000,key_down,NULL,32,1673521254.537000,58
118.996489,0.233862,gap_element,auto_generated,-1,1673521254.541492,59
119.230351,0.374178,plain_hit,NULL,-1,1673521254.775354,60
119.600997,0.000000,key_down,NULL,32,1673521255.146000,60
119.604529,0.226066,gap_element,auto_generated,-1,1673521255.149532,61
119.830595,0.553472,plain_hit,NULL,-1,1673521255.375598,62
120.385997,0.000000,key_down,NULL,32,1673521255.931000,62
120.391863,0.218270,gap_element,auto_generated,-1,1673521255.936866,63
120.610133,0.319611,plain_hit,NULL,-1,1673521256.155136,64
120.927997,0.000000,key_down,NULL,32,1673521256.473000,64
120.929744,0.218271,gap_element,auto_generated,-1,1673521256.474747,65
121.155810,0.366383,plain_hit,NULL,-1,1673521256.700813,66
121.520997,0.000000,key_down,NULL,32,1673521257.066000,66
121.522193,0.218271,gap_element,auto_generated,-1,1673521257.067196,67
121.740464,0.810719,pattern,NULL,-1,1673521257.285467,68
122.551183,0.218271,gap_element,auto_generated,-1,1673521258.096186,69
122.769454,1.005604,pattern,NULL,-1,1673521258.314457,70
123.775058,0.210475,gap_element,auto_generated,-1,1673521259.320061,71
123.985533,0.802924,pattern,NULL,-1,1673521259.530536,72
124.796253,0.210475,gap_element,auto_generated,-1,1673521260.341256,73
125.014524,0.397564,plain_hit,NULL,-1,1673521260.559527,74
125.408997,0.000000,key_down,NULL,32,1673521260.954000,74
125.412088,0.202680,gap_element,auto_generated,-1,1673521260.957091,75
125.622563,0.327406,plain_hit,NULL,-1,1673521261.167566,76
125.951997,0.000000,key_down,NULL,32,1673521261.497000,76
125.957765,0.202680,gap_element,auto_generated,-1,1673521261.502768,77
126.168240,0.327406,plain_hit,NULL,-1,1673521261.713243,78
126.495997,0.000000,key_down,NULL,32,1673521262.041000,78
126.503441,0.210476,gap_element,auto_generated,-1,1673521262.048444,79
126.713917,0.327406,plain_hit,NULL,-1,1673521262.258920,80
127.040997,0.000000,key_down,NULL,32,1673521262.586000,80
127.049118,0.202680,gap_element,auto_generated,-1,1673521262.594121,81
127.259593,0.327406,plain_hit,NULL,-1,1673521262.804596,82
127.584997,0.000000,key_down,NULL,32,1673521263.130000,82
127.586999,0.218271,gap_element,auto_generated,-1,1673521263.132002,83
127.805270,0.358587,plain_hit,NULL,-1,1673521263.350273,84
128.160997,0.000000,key_down,NULL,32,1673521263.706000,84
128.163857,0.218271,gap_element,auto_generated,-1,1673521263.708860,85
128.382128,1.208284,pattern,NULL,-1,1673521263.927131,86
129.598208,0.210475,gap_element,auto_generated,-1,1673521265.143211,87
129.816478,0.389769,plain_hit,NULL,-1,1673521265.361481,88
130.208997,0.000000,key_down,NULL,32,1673521265.754000,88
130.214042,0.218271,gap_element,auto_generated,-1,1673521265.759045,89
130.440109,0.358587,plain_hit,NULL,-1,1673521265.985112,90
130.799997,0.000000,key_down,NULL,32,1673521266.345000,90
130.806491,0.226067,gap_element,auto_generated,-1,1673521266.351494,91
131.032558,0.810719,pattern,NULL,-1,1673521266.577561,92
131.843277,0.210475,gap_element,auto_generated,-1,1673521267.388280,93
132.061548,0.327406,plain_hit,NULL,-1,1673521267.606551,94
132.384997,0.000000,key_down,NULL,32,1673521267.930000,94
132.388954,0.210475,gap_element,auto_generated,-1,1673521267.933957,95
132.607225,0.389769,plain_hit,NULL,-1,1673521268.152228,96
132.991997,0.000000,key_down,NULL,32,1673521268.537000,96
132.996994,0.210475,gap_element,auto_generated,-1,1673521268.541997,97
133.207469,0.397564,plain_hit,NULL,-1,1673521268.752472,98
133.600997,0.000000,key_down,NULL,32,1673521269.146000,98
133.605033,0.210476,gap_element,auto_generated,-1,1673521269.150036,99
133.823304,1.005604,pattern,NULL,-1,1673521269.368307,100
134.828908,0.218271,gap_element,auto_generated,-1,1673521270.373911,101
135.047179,0.342996,plain_hit,NULL,-1,1673521270.592182,102
135.391997,0.000000,key_down,NULL,32,1673521270.937000,102
135.397971,0.210475,gap_element,auto_generated,-1,1673521270.942974,103
135.608446,1.216080,pattern,NULL,-1,1673521271.153449,104
136.832321,0.210475,gap_element,auto_generated,-1,1673521272.377324,105
137.050592,0.537881,plain_hit,NULL,-1,1673521272.595595,106
137.584997,0.000000,key_down,NULL,32,1673521273.130000,106
137.588473,0.218271,gap_element,auto_generated,-1,1673521273.133476,107
137.814539,0.413155,plain_hit,NULL,-1,1673521273.359542,108
138.223997,0.000000,key_down,NULL,32,1673521273.769000,108
138.227694,0.218271,gap_element,auto_generated,-1,1673521273.772697,109
138.445965,0.405360,plain_hit,NULL,-1,1673521273.990968,110
138.847997,0.000000,key_down,NULL,32,1673521274.393000,110
138.851325,0.218270,gap_element,auto_generated,-1,1673521274.396328,111
139.069595,0.436542,plain_hit,NULL,-1,1673521274.614598,112
139.504997,0.000000,key_down,NULL,32,1673521275.050000,112
139.506137,0.218270,gap_element,auto_generated,-1,1673521275.051140,113
139.724407,0.818515,pattern,NULL,-1,1673521275.269410,114
140.550718,0.218270,gap_element,auto_generated,-1,1673521276.095721,115
140.768988,0.257248,plain_hit,NULL,-1,1673521276.313991,116
141.024997,0.000000,key_down,NULL,32,1673521276.570000,116
141.026236,0.210475,gap_element,auto_generated,-1,1673521276.571239,117
141.236711,0.506700,plain_hit,NULL,-1,1673521276.781714,118
141.743997,0.000000,key_down,NULL,32,1673521277.289000,118
141.751206,0.218271,gap_element,auto_generated,-1,1673521277.296209,119
141.969477,0.623631,plain_hit,NULL,-1,1673521277.514480,120
142.592997,0.000000,key_down,NULL,32,1673521278.138000,120
142.600903,0.210475,gap_element,auto_generated,-1,1673521278.145906,121
142.811378,0.498905,plain_hit,NULL,-1,1673521278.356381,122
143.311997,0.000000,key_down,NULL,32,1673521278.857000,122
143.318078,0.210475,gap_element,auto_generated,-1,1673521278.863081,123
143.528553,63.314084,phase_Stimuli_phase_2_Random_Position,15156,-1,1673521279.073556,124
143.528553,0.647017,plain_hit,NULL,-1,1673521279.073556,125
144.176997,0.000000,key_down,NULL,32,1673521279.722000,125
144.183365,0.202680,gap_element,auto_generated,-1,1673521279.728368,126
144.386045,0.366383,plain_hit,NULL,-1,1673521279.931048,127
144.751997,0.000000,key_down,NULL,32,1673521280.297000,127
144.760223,0.202680,gap_element,auto_generated,-1,1673521280.305226,128
144.962903,0.335202,plain_hit,NULL,-1,1673521280.507906,129
145.296997,0.000000,key_down,NULL,32,1673521280.842000,129
145.298105,0.226066,gap_element,auto_generated,-1,1673521280.843108,130
145.524171,1.200488,pattern,NULL,-1,1673521281.069174,131
145.870997,0.000000,key_down,NULL,32,1673521281.416000,131
146.732455,0.210475,gap_element,auto_generated,-1,1673521282.277458,132
146.942930,0.608040,plain_hit,NULL,-1,1673521282.487933,133
147.551997,0.000000,key_down,NULL,32,1673521283.097000,133
147.558765,0.210475,gap_element,auto_generated,-1,1673521283.103768,134
147.777036,0.366383,plain_hit,NULL,-1,1673521283.322039,135
148.144997,0.000000,key_down,NULL,32,1673521283.690000,135
148.151214,0.218271,gap_element,auto_generated,-1,1673521283.696217,136
148.369485,1.005604,pattern,NULL,-1,1673521283.914488,137
149.382884,0.194885,gap_element,auto_generated,-1,1673521284.927887,138
149.585564,0.810720,pattern,NULL,-1,1673521285.130567,139
149.918997,0.000000,key_down,NULL,32,1673521285.464000,139
150.396284,0.210475,gap_element,auto_generated,-1,1673521285.941287,140
150.614554,0.506700,plain_hit,NULL,-1,1673521286.159557,141
151.119997,0.000000,key_down,NULL,32,1673521286.665000,141
151.121254,0.218271,gap_element,auto_generated,-1,1673521286.666257,142
151.347320,0.475518,plain_hit,NULL,-1,1673521286.892323,143
151.823997,0.000000,key_down,NULL,32,1673521287.369000,143
151.830634,0.210475,gap_element,auto_generated,-1,1673521287.375637,144
152.041109,0.420951,plain_hit,NULL,-1,1673521287.586112,145
152.464997,0.000000,key_down,NULL,32,1673521288.010000,145
152.469855,0.210475,gap_element,auto_generated,-1,1673521288.014858,146
152.688126,0.420950,plain_hit,NULL,-1,1673521288.233129,147
153.104997,0.000000,key_down,NULL,32,1673521288.650000,147
153.109076,0.210476,gap_element,auto_generated,-1,1673521288.654079,148
153.319552,0.374178,plain_hit,NULL,-1,1673521288.864555,149
153.695997,0.000000,key_down,NULL,32,1673521289.241000,149
153.701525,0.202680,gap_element,auto_generated,-1,1673521289.246528,150
