latency,duration,type,marker_value,key,timestamp,marker_id
0.194935,331.903251,sensor_check,true,-1,1673521436.115320,1
332.105983,0.000000,published_date,2022-02-07T03:36:36.403880Z,-1,1673521768.026368,2
332.105983,4.818780,phase_calibration,calibration,-1,1673521768.026368,3
332.105983,4.818780,sound_check,true,-1,1673521768.026368,4
336.924763,28.210919,eyesopen_element_pre,NULL,-1,1673521772.845148,5
336.924763,28.210919,phase_Calibration_phase_1,15124,-1,1673521772.845148,6
365.143480,193.530956,active_period,true,-1,1673521801.063865,7
365.237048,59.267881,instructions1,NULL,-1,1673521801.157433,8
365.237048,67.369358,phase_Instructions,15125,-1,1673521801.157433,9
424.504929,2.807057,instructions2,NULL,-1,1673521860.425314,10
425.390615,0.000000,key_down,NULL,71,1673521861.311000,10
427.311986,1.770004,instructionsfinal,NULL,-1,1673521863.232371,11
428.078615,0.000000,key_down,NULL,80,1673521863.999000,11
428.091723,4.514683,text_element_31yn,NULL,-1,1673521864.012108,12
432.606406,3.040978,phase_RSG,15126,-1,1673521868.526791,13
432.606406,1.021457,ready,NULL,-1,1673521868.526791,14
433.627863,1.013659,set,NULL,-1,1673521869.548248,15
434.641522,1.005862,go,NULL,-1,1673521870.561907,16
435.647384,0.959078,catch_green,g,-1,1673521871.567769,17
435.647384,30.760662,phase_Stimuli_phase_1,15127,-1,1673521871.567769,18
436.607615,0.000000,key_down,g,71,1673521872.528000,17
436.614259,0.210529,gap_element,auto_generated,-1,1673521872.534644,19
436.832586,0.686169,catch_red,r,-1,1673521872.752971,20
437.518615,0.000000,key_down,r,82,1673521873.439000,20
437.526552,0.194935,gap_element,auto_generated,-1,1673521873.446937,21
437.729284,0.592601,catch_purple,p,-1,1673521873.649669,22
438.318615,0.000000,key_down,p,80,1673521874.239000,22
438.321885,0.218327,gap_element,auto_generated,-1,1673521874.242270,23
438.548009,0.654980,catch_purple,p,-1,1673521874.468394,24
439.198615,0.000000,key_down,p,80,1673521875.119000,24
439.202989,0.210529,gap_element,auto_generated,-1,1673521875.123374,25
439.421316,0.639385,match_green,g,-1,1673521875.341701,26
440.062615,0.000000,key_down,g,71,1673521875.983000,26
440.068498,0.202732,gap_element,auto_generated,-1,1673521875.988883,27
440.271230,0.530222,match_red,r,-1,1673521876.191615,28
440.798615,0.000000,key_down,r,82,1673521876.719000,28
440.801452,0.218326,gap_element,auto_generated,-1,1673521876.721837,29
441.027576,0.990267,catch_red,r,-1,1673521876.947961,30
441.568615,0.000000,key_down,r,80,1673521877.489000,30
442.014615,0.000000,key_down,r,82,1673521877.935000,30
442.017843,0.218327,gap_element,auto_generated,-1,1673521877.938228,31
442.243967,0.920091,catch_green,g,-1,1673521878.164352,32
443.166615,0.000000,key_down,g,71,1673521879.087000,32
443.171855,0.202732,gap_element,auto_generated,-1,1673521879.092240,33
443.382384,0.709562,catch_orange,o,-1,1673521879.302769,34
444.094615,0.000000,key_down,o,79,1673521880.015000,34
444.099743,0.210529,gap_element,auto_generated,-1,1673521880.020128,35
444.318070,0.499032,catch_orange,o,-1,1673521880.238455,36
444.814615,0.000000,key_down,o,79,1673521880.735000,36
444.817102,0.210529,gap_element,auto_generated,-1,1673521880.737487,37
445.035429,0.678372,catch_green,g,-1,1673521880.955814,38
445.710615,0.000000,key_down,g,71,1673521881.631000,38
445.713801,0.218326,gap_element,auto_generated,-1,1673521881.634186,39
445.932127,0.592601,match_purple,p,-1,1673521881.852512,40
446.526615,0.000000,key_down,p,80,1673521882.447000,40
446.532526,0.210529,gap_element,auto_generated,-1,1673521882.452911,41
