latency,duration,type,marker_value,key,timestamp,marker_id
0.218276,15.037715,sensor_check,true,-1,1673514832.212674,1
15.255991,0.000000,published_date,2022-02-07T03:38:14.751783Z,-1,1673514847.250389,2
15.255991,2.003470,phase_calibration,calibration,-1,1673514847.250389,3
15.255991,2.003470,sound_check,true,-1,1673514847.250389,4
17.259461,35.033433,phase_Calibration_phase_1,15152,-1,1673514849.253859,5
17.259461,35.033433,eyesopen_element_pre,NULL,-1,1673514849.253859,6
52.300690,135.596693,active_period,true,-1,1673514884.295088,7
52.448806,12.426189,phase_Instructions_Phase_1,15153,-1,1673514884.443204,8
52.448806,6.041591,instructions1,NULL,-1,1673514884.443204,9
58.490397,3.266358,instructionsfinal,NULL,-1,1673514890.484795,10
61.756755,3.126036,text_element_cqxq,NULL,-1,1673514893.751153,11
64.882791,11.303622,phase_Example,15154,-1,1673514896.877189,12
64.882791,1.208318,example1,NULL,-1,1673514896.877189,13
66.098905,0.506714,gap_element,auto_generated,-1,1673514898.093303,14
66.613414,1.200523,example2,NULL,-1,1673514898.607812,15
67.488602,0.000000,key_down,NULL,32,1673514899.483000,15
67.813937,0.514510,gap_element,auto_generated,-1,1673514899.808335,16
68.328447,1.208318,pattern,NULL,-1,1673514900.322845,17
69.544560,0.506715,gap_element,auto_generated,-1,1673514901.538958,18
70.059070,1.223909,example3,NULL,-1,1673514902.053468,19
70.592602,0.000000,key_down,NULL,32,1673514902.587000,19
71.282979,0.506715,gap_element,auto_generated,-1,1673514903.277377,20
71.797489,3.882210,text_element_m8fp,NULL,-1,1673514903.791887,21
75.679699,0.506714,gap_element,auto_generated,-1,1673514907.674097,22
76.186413,3.032489,phase_RSG,15155,-1,1673514908.180811,23
76.186413,1.005632,ready,NULL,-1,1673514908.180811,24
77.199841,1.005633,set,NULL,-1,1673514909.194239,25
78.205474,1.013428,go,NULL,-1,1673514910.199872,26
79.218902,42.587371,phase_Stimuli_phase_1,15151,-1,1673514911.213300,27
79.218902,0.686013,plain_hit,NULL,-1,1673514911.213300,28
79.904602,0.000000,key_down,NULL,32,1673514911.899000,28
79.904915,0.218277,gap_element,auto_generated,-1,1673514911.899313,29
80.123192,0.600261,plain_hit,NULL,-1,1673514912.117590,30
80.720602,0.000000,key_down,NULL,32,1673514912.715000,30
80.723453,0.210481,gap_element,auto_generated,-1,1673514912.717851,31
80.941730,0.592466,plain_hit,NULL,-1,1673514912.936128,32
81.536602,0.000000,key_down,NULL,32,1673514913.531000,32
81.541991,0.218277,gap_element,auto_generated,-1,1673514913.536389,33
81.760268,0.608057,plain_hit,NULL,-1,1673514913.754666,34
82.369602,0.000000,key_down,NULL,32,1673514914.364000,34
82.376121,0.210481,gap_element,auto_generated,-1,1673514914.370519,35
82.586602,0.615852,plain_hit,NULL,-1,1673514914.581000,36
83.200602,0.000000,key_down,NULL,32,1673514915.195000,36
83.210250,0.210481,gap_element,auto_generated,-1,1673514915.204648,37
83.428527,0.748377,plain_hit,NULL,-1,1673514915.422925,38
84.176602,0.000000,key_down,NULL,32,1673514916.171000,38
84.176904,0.226073,gap_element,auto_generated,-1,1673514916.171302,39
84.402977,0.826334,pattern,NULL,-1,1673514916.397375,40
85.229311,0.210481,gap_element,auto_generated,-1,1673514917.223709,41
85.447587,1.005633,pattern,NULL,-1,1673514917.441985,42
86.461016,0.210481,gap_element,auto_generated,-1,1673514918.455414,43
86.679292,0.428759,plain_hit,NULL,-1,1673514918.673690,44
87.105602,0.000000,key_down,NULL,32,1673514919.100000,44
87.108051,0.218277,gap_element,auto_generated,-1,1673514919.102449,45
87.326328,0.810742,pattern,NULL,-1,1673514919.320726,46
88.137070,0.218277,gap_element,auto_generated,-1,1673514920.131468,47
88.363142,0.389781,plain_hit,NULL,-1,1673514920.357540,48
88.751602,0.000000,key_down,NULL,32,1673514920.746000,48
88.752923,0.210481,gap_element,auto_generated,-1,1673514920.747321,49
88.971200,0.569078,plain_hit,NULL,-1,1673514920.965598,50
89.535602,0.000000,key_down,NULL,32,1673514921.530000,50
89.540278,0.218277,gap_element,auto_generated,-1,1673514921.534676,51
89.758555,0.452145,plain_hit,NULL,-1,1673514921.752953,52
90.209602,0.000000,key_down,NULL,32,1673514922.204000,52
90.210700,0.210481,gap_element,auto_generated,-1,1673514922.205098,53
90.428977,0.647035,plain_hit,NULL,-1,1673514922.423375,54
91.072602,0.000000,key_down,NULL,32,1673514923.067000,54
91.076012,0.210481,gap_element,auto_generated,-1,1673514923.070410,55
91.286493,1.208318,pattern,NULL,-1,1673514923.280891,56
92.502607,0.210481,gap_element,auto_generated,-1,1673514924.497005,57
92.720884,0.428758,plain_hit,NULL,-1,1673514924.715282,58
93.152602,0.000000,key_down,NULL,32,1673514925.147000,58
93.157437,0.218277,gap_element,auto_generated,-1,1673514925.151835,59
93.383510,0.810742,pattern,NULL,-1,1673514925.377908,60
94.202048,0.210481,gap_element,auto_generated,-1,1673514926.196446,61
94.420325,0.381984,plain_hit,NULL,-1,1673514926.414723,62
94.800602,0.000000,key_down,NULL,32,1673514926.795000,62
94.802309,0.226073,gap_element,auto_generated,-1,1673514926.796707,63
95.028382,0.670421,plain_hit,NULL,-1,1673514927.022780,64
95.696602,0.000000,key_down,NULL,32,1673514927.691000,64
95.698803,0.210482,gap_element,auto_generated,-1,1673514927.693201,65
95.917080,0.576875,plain_hit,NULL,-1,1673514927.911478,66
96.496602,0.000000,key_down,NULL,32,1673514928.491000,66
96.501750,0.218277,gap_element,auto_generated,-1,1673514928.496148,67
96.727823,0.779560,plain_hit,NULL,-1,1673514928.722221,68
97.504602,0.000000,key_down,NULL,32,1673514929.499000,68
97.507383,0.210481,gap_element,auto_generated,-1,1673514929.501781,69
97.717864,0.444350,plain_hit,NULL,-1,1673514929.712262,70
98.159602,0.000000,key_down,NULL,32,1673514930.154000,70
98.162214,0.210481,gap_element,auto_generated,-1,1673514930.156612,71
98.372695,0.654830,plain_hit,NULL,-1,1673514930.367093,72
99.024602,0.000000,key_down,NULL,32,1673514931.019000,72
