latency,duration,type,marker_value,key,timestamp,marker_id
0.272849,2.416663,sensor_check,true,-1,1673515108.508779,1
2.689512,0.000000,published_date,2022-02-07T03:36:36.403880Z,-1,1673515110.925442,2
2.689512,3.266394,phase_calibration,calibration,-1,1673515110.925442,3
2.689512,3.266394,sound_check,true,-1,1673515110.925442,4
5.955906,27.581144,phase_Calibration_phase_1,15124,-1,1673515114.191836,5
5.955906,27.581144,eyesopen_element_pre,NULL,-1,1673515114.191836,6
33.537050,159.063221,active_period,true,-1,1673515141.772980,7
33.739738,30.894312,phase_Instructions,15125,-1,1673515141.975668,8
33.739738,12.675789,instructions1,NULL,-1,1673515141.975668,9
46.415527,6.524991,instructions2,NULL,-1,1673515154.651457,10
49.883070,0.000000,key_down,NULL,71,1673515158.119000,10
52.948314,4.537090,instructionsfinal,NULL,-1,1673515161.184244,11
54.873070,0.000000,key_down,NULL,79,1673515163.109000,11
57.482070,0.000000,key_down,NULL,80,1673515165.718000,11
57.485404,7.148646,text_element_31yn,NULL,-1,1673515165.721334,12
64.634050,3.032523,phase_RSG,15126,-1,1673515172.869980,13
64.634050,1.013440,ready,NULL,-1,1673515172.869980,14
65.647490,1.005643,set,NULL,-1,1673515173.883420,15
66.653133,1.013440,go,NULL,-1,1673515174.889063,16
67.674369,34.495920,phase_Stimuli_phase_1,15127,-1,1673515175.910299,17
67.674369,2.307523,catch_red,r,-1,1673515175.910299,18
69.978070,0.000000,key_down,r,82,1673515178.214000,18
69.981892,0.210484,gap_element,auto_generated,-1,1673515178.217822,19
70.192376,1.496772,catch_purple,p,-1,1673515178.428306,20
71.690070,0.000000,key_down,p,80,1673515179.926000,20
71.696944,0.000000,gap_element,auto_generated,-1,1673515179.932874,21
71.907427,1.715052,catch_red,r,-1,1673515180.143357,22
73.625070,0.000000,key_down,r,82,1673515181.861000,22
73.630274,0.210484,gap_element,auto_generated,-1,1673515181.866204,23
73.840758,1.785212,catch_orange,o,-1,1673515182.076688,24
75.627070,0.000000,key_down,o,79,1673515183.863000,24
75.633766,0.000000,gap_element,auto_generated,-1,1673515183.869696,25
75.852045,1.403224,catch_purple,p,-1,1673515184.087975,26
77.258070,0.000000,key_down,p,80,1673515185.494000,26
77.263065,0.000000,gap_element,auto_generated,-1,1673515185.498995,27
77.473549,1.325267,catch_green,g,-1,1673515185.709479,28
78.794070,0.000000,key_down,g,71,1673515187.030000,28
78.798816,0.218279,gap_element,auto_generated,-1,1673515187.034746,29
79.024891,2.572577,match_orange,o,-1,1673515187.260821,30
81.595070,0.000000,key_down,o,79,1673515189.831000,30
81.597468,0.000000,gap_element,auto_generated,-1,1673515189.833398,31
81.807951,1.574729,match_green,g,-1,1673515190.043881,32
83.386070,0.000000,key_down,g,71,1673515191.622000,32
83.390476,0.210483,gap_element,auto_generated,-1,1673515191.626406,33
