latency,duration,type,marker_value,key,timestamp,marker_id
0.155924,2.837830,sensor_check,true,-1,1673370504.279870,1
2.993754,0.000000,published_date,2022-02-07T03:38:14.751783Z,-1,1673370507.117700,2
2.993754,1.598228,phase_calibration,calibration,-1,1673370507.117700,3
2.993754,1.598228,sound_check,true,-1,1673370507.117700,4
4.591982,26.444827,phase_Calibration_phase_1,15152,-1,1673370508.715928,5
4.591982,26.444827,eyesopen_element_pre,NULL,-1,1673370508.715928,6
31.036809,118.323453,active_period,true,-1,1673370535.160755,7
31.122568,5.387198,phase_Instructions_Phase_1,15153,-1,1673370535.246514,8
31.122568,2.728682,instructions1,NULL,-1,1673370535.246514,9
33.859046,1.473489,instructionsfinal,NULL,-1,1673370537.982992,10
35.332535,1.177231,text_element_cqxq,NULL,-1,1673370539.456481,11
36.509766,13.534263,phase_Example,15154,-1,1673370540.633712,12
36.509766,1.224009,example1,NULL,-1,1673370540.633712,13
37.057054,0.000000,key_down,NULL,32,1673370541.181000,13
37.733775,0.522348,gap_element,auto_generated,-1,1673370541.857721,14
38.256123,1.216212,example2,NULL,-1,1673370542.380069,15
38.576054,0.000000,key_down,NULL,32,1673370542.700000,15
39.480131,0.514552,gap_element,auto_generated,-1,1673370543.604077,16
39.994683,1.216212,pattern,NULL,-1,1673370544.118629,17
41.218692,0.514551,gap_element,auto_generated,-1,1673370545.342638,18
41.733243,1.216213,example3,NULL,-1,1673370545.857189,19
42.032054,0.000000,key_down,NULL,32,1673370546.156000,19
42.957252,0.506755,gap_element,auto_generated,-1,1673370547.081198,20
43.471804,6.057674,text_element_m8fp,NULL,-1,1673370547.595750,21
49.529478,0.514551,gap_element,auto_generated,-1,1673370553.653424,22
50.051826,3.048327,phase_RSG,15155,-1,1673370554.175772,23
50.051826,1.013510,ready,NULL,-1,1673370554.175772,24
51.065336,1.013511,set,NULL,-1,1673370555.189282,25
52.086643,1.013510,go,NULL,-1,1673370556.210589,26
53.107949,35.012890,phase_Stimuli_phase_1,15151,-1,1673370557.231895,27
53.107949,0.366423,plain_hit,NULL,-1,1673370557.231895,28
53.472054,0.000000,key_down,NULL,32,1673370557.596000,28
53.482169,0.202702,gap_element,auto_generated,-1,1673370557.606115,29
53.684871,0.413200,plain_hit,NULL,-1,1673370557.808817,30
54.096054,0.000000,key_down,NULL,32,1673370558.220000,30
54.098071,0.210499,gap_element,auto_generated,-1,1673370558.222017,31
54.316366,1.013510,pattern,NULL,-1,1673370558.440312,32
55.337673,0.210498,gap_element,auto_generated,-1,1673370559.461619,33
55.555967,0.428793,plain_hit,NULL,-1,1673370559.679913,34
55.984054,0.000000,key_down,NULL,32,1673370560.108000,34
55.984760,0.202702,gap_element,auto_generated,-1,1673370560.108706,35
56.195258,0.428793,plain_hit,NULL,-1,1673370560.319204,36
56.624054,0.000000,key_down,NULL,32,1673370560.748000,36
56.631847,0.218295,gap_element,auto_generated,-1,1673370560.755793,37
56.850142,1.224009,pattern,NULL,-1,1673370560.974088,38
58.074151,0.218294,gap_element,auto_generated,-1,1673370562.198097,39
58.292445,0.818605,pattern,NULL,-1,1673370562.416391,40
59.111050,0.218295,gap_element,auto_generated,-1,1673370563.234996,41
59.337141,0.343034,plain_hit,NULL,-1,1673370563.461087,42
59.680054,0.000000,key_down,NULL,32,1673370563.804000,42
59.687971,0.218295,gap_element,auto_generated,-1,1673370563.811917,43
59.906266,0.413200,plain_hit,NULL,-1,1673370564.030212,44
60.320054,0.000000,key_down,NULL,32,1673370564.444000,44
60.327263,0.210498,gap_element,auto_generated,-1,1673370564.451209,45
60.537761,0.358627,plain_hit,NULL,-1,1673370564.661707,46
60.896054,0.000000,key_down,NULL,32,1673370565.020000,46
60.896388,0.218294,gap_element,auto_generated,-1,1673370565.020334,47
61.114682,0.358627,plain_hit,NULL,-1,1673370565.238628,48
61.472054,0.000000,key_down,NULL,32,1673370565.596000,48
61.473309,0.218295,gap_element,auto_generated,-1,1673370565.597255,49
61.699400,0.335238,plain_hit,NULL,-1,1673370565.823346,50
62.032054,0.000000,key_down,NULL,32,1673370566.156000,50
62.034638,0.210498,gap_element,auto_generated,-1,1673370566.158584,51
62.245136,0.335239,plain_hit,NULL,-1,1673370566.369082,52
62.576054,0.000000,key_down,NULL,32,1673370566.700000,52
62.580375,0.202702,gap_element,auto_generated,-1,1673370566.704321,53
62.783077,0.810808,pattern,NULL,-1,1673370566.907023,54
63.593885,0.202702,gap_element,auto_generated,-1,1673370567.717831,55
63.804383,0.389812,plain_hit,NULL,-1,1673370567.928329,56
64.192054,0.000000,key_down,NULL,32,1673370568.316000,56
64.194195,0.218294,gap_element,auto_generated,-1,1673370568.318141,57
64.412489,0.452182,plain_hit,NULL,-1,1673370568.536435,58
64.864054,0.000000,key_down,NULL,32,1673370568.988000,58
64.872467,0.218295,gap_element,auto_generated,-1,1673370568.996413,59
65.090762,0.335238,plain_hit,NULL,-1,1673370569.214708,60
65.424054,0.000000,key_down,NULL,32,1673370569.548000,60
65.426000,0.210498,gap_element,auto_generated,-1,1673370569.549946,61
65.636498,0.350831,plain_hit,NULL,-1,1673370569.760444,62
65.984054,0.000000,key_down,NULL,32,1673370570.108000,62
65.987329,0.210498,gap_element,auto_generated,-1,1673370570.111275,63
66.197827,0.343035,plain_hit,NULL,-1,1673370570.321773,64
66.543054,0.000000,key_down,NULL,32,1673370570.667000,64
66.548658,0.202702,gap_element,auto_generated,-1,1673370570.672604,65
66.759156,0.327442,plain_hit,NULL,-1,1673370570.883102,66
67.088054,0.000000,key_down,NULL,32,1673370571.212000,66
67.094394,0.210499,gap_element,auto_generated,-1,1673370571.218340,67
67.304893,0.327442,plain_hit,NULL,-1,1673370571.428839,68
67.632054,0.000000,key_down,NULL,32,1673370571.756000,68
67.632335,0.210498,gap_element,auto_generated,-1,1673370571.756281,69
67.842833,0.366423,plain_hit,NULL,-1,1673370571.966779,70
68.208054,0.000000,key_down,NULL,32,1673370572.332000,70
68.209256,0.218294,gap_element,auto_generated,-1,1673370572.333202,71
68.427550,0.405404,plain_hit,NULL,-1,1673370572.551496,72
68.832054,0.000000,key_down,NULL,32,1673370572.956000,72
68.832954,0.210499,gap_element,auto_generated,-1,1673370572.956900,73
69.051249,0.498959,plain_hit,NULL,-1,1673370573.175195,74
69.553054,0.000000,key_down,NULL,32,1673370573.677000,74
69.558004,0.218295,gap_element,auto_generated,-1,1673370573.681950,75
69.776299,1.208416,pattern,NULL,-1,1673370573.900245,76
70.984715,0.218295,gap_element,auto_generated,-1,1673370575.108661,77
71.210806,0.997918,pattern,NULL,-1,1673370575.334752,78
72.216520,0.218295,gap_element,auto_generated,-1,1673370576.340466,79
72.434815,0.818604,pattern,NULL,-1,1673370576.558761,80
73.253419,0.226091,gap_element,auto_generated,-1,1673370577.377365,81
73.479510,0.397608,plain_hit,NULL,-1,1673370577.603456,82
73.873054,0.000000,key_down,NULL,32,1673370577.997000,82
73.877118,0.210499,gap_element,auto_generated,-1,1673370578.001064,83
74.087617,0.343034,plain_hit,NULL,-1,1673370578.211563,84
74.432054,0.000000,key_down,NULL,32,1673370578.556000,84
74.438447,0.202702,gap_element,auto_generated,-1,1673370578.562393,85
74.641149,0.818605,pattern,NULL,-1,1673370578.765095,86
75.459754,0.226091,gap_element,auto_generated,-1,1673370579.583700,87
75.685845,0.343034,plain_hit,NULL,-1,1673370579.809791,88
76.032054,0.000000,key_down,NULL,32,1673370580.156000,88
76.036675,0.218295,gap_element,auto_generated,-1,1673370580.160621,89
76.254970,0.350830,plain_hit,NULL,-1,1673370580.378916,90
76.608054,0.000000,key_down,NULL,32,1673370580.732000,90
76.613597,0.210498,gap_element,auto_generated,-1,1673370580.737543,91
76.831891,0.319646,plain_hit,NULL,-1,1673370580.955837,92
77.152054,0.000000,key_down,NULL,32,1673370581.276000,92
77.159333,0.210498,gap_element,auto_generated,-1,1673370581.283279,93
77.369831,0.810809,pattern,NULL,-1,1673370581.493777,94
78.180640,0.218294,gap_element,auto_generated,-1,1673370582.304586,95
78.398934,0.288461,plain_hit,NULL,-1,1673370582.522880,96
78.688054,0.000000,key_down,NULL,32,1673370582.812000,96
78.695191,0.202703,gap_element,auto_generated,-1,1673370582.819137,97
78.897894,0.304053,plain_hit,NULL,-1,1673370583.021840,98
79.200054,0.000000,key_down,NULL,32,1673370583.324000,98
79.201947,0.210498,gap_element,auto_generated,-1,1673370583.325893,99
79.420241,0.296257,plain_hit,NULL,-1,1673370583.544187,100
79.712054,0.000000,key_down,NULL,32,1673370583.836000,100
79.716498,0.202702,gap_element,auto_generated,-1,1673370583.840444,101
79.919200,1.005714,pattern,NULL,-1,1673370584.043146,102
80.924914,0.218295,gap_element,auto_generated,-1,1673370585.048860,103
81.151005,0.350831,plain_hit,NULL,-1,1673370585.274951,104
81.504054,0.000000,key_down,NULL,32,1673370585.628000,104
81.509632,0.218295,gap_element,auto_generated,-1,1673370585.633578,105
81.727927,0.319645,plain_hit,NULL,-1,1673370585.851873,106
82.048054,0.000000,key_down,NULL,32,1673370586.172000,106
82.055368,0.202703,gap_element,auto_generated,-1,1673370586.179314,107
82.265867,0.358626,plain_hit,NULL,-1,1673370586.389813,108
82.624054,0.000000,key_down,NULL,32,1673370586.748000,108
82.632290,0.202702,gap_element,auto_generated,-1,1673370586.756236,109
82.842788,0.810808,pattern,NULL,-1,1673370586.966734,110
83.653596,0.218295,gap_element,auto_generated,-1,1673370587.777542,111
83.871891,0.350831,plain_hit,NULL,-1,1673370587.995837,112
84.224054,0.000000,key_down,NULL,32,1673370588.348000,112
84.230518,0.202702,gap_element,auto_generated,-1,1673370588.354464,113
84.441016,0.311850,plain_hit,NULL,-1,1673370588.564962,114
84.752054,0.000000,key_down,NULL,32,1673370588.876000,114
84.752866,0.218294,gap_element,auto_generated,-1,1673370588.876812,115
84.971160,0.374219,plain_hit,NULL,-1,1673370589.095106,116
85.344054,0.000000,key_down,NULL,32,1673370589.468000,116
