latency,duration,type,marker_value,key,timestamp,marker_id
0.163722,19.662313,sensor_check,true,-1,1673371079.300211,1
19.826035,0.000000,published_date,2022-02-07T03:36:36.403880Z,-1,1673371098.962524,2
19.826035,1.099281,phase_calibration,calibration,-1,1673371098.962524,3
19.826035,1.099281,sound_check,true,-1,1673371098.962524,4
20.925316,25.985127,phase_Calibration_phase_1,15124,-1,1673371100.061805,5
20.925316,25.985127,eyesopen_element_pre,NULL,-1,1673371100.061805,6
46.918239,134.619016,active_period,true,-1,1673371126.054728,7
47.003998,7.398706,phase_Instructions,15125,-1,1673371126.140487,8
47.003998,3.765622,instructions1,NULL,-1,1673371126.140487,9
50.777416,1.473504,instructions2,NULL,-1,1673371129.913905,10
51.758511,0.000000,key_down,NULL,71,1673371130.895000,10
52.250920,0.880984,instructionsfinal,NULL,-1,1673371131.387409,11
53.132511,0.000000,key_down,NULL,80,1673371132.269000,11
53.139700,1.263004,text_element_31yn,NULL,-1,1673371132.276189,12
54.402704,3.040564,phase_RSG,15126,-1,1673371133.539193,13
54.402704,1.013521,ready,NULL,-1,1673371133.539193,14
55.416225,1.013521,set,NULL,-1,1673371134.552714,15
56.429746,1.013522,go,NULL,-1,1673371135.566235,16
57.451064,45.608458,phase_Stimuli_phase_1,15127,-1,1673371136.587553,17
57.451064,0.693872,match_orange,o,-1,1673371136.587553,18
58.140511,0.000000,key_down,o,79,1673371137.277000,18
58.144936,0.218297,gap_element,auto_generated,-1,1673371137.281425,19
58.363233,0.608113,catch_purple,p,-1,1673371137.499722,20
58.972511,0.000000,key_down,p,80,1673371138.109000,20
58.979142,0.202704,gap_element,auto_generated,-1,1673371138.115631,21
59.181846,0.592521,catch_red,r,-1,1673371138.318335,22
59.772511,0.000000,key_down,r,82,1673371138.909000,22
59.774367,0.210500,gap_element,auto_generated,-1,1673371138.910856,23
59.984867,0.748447,match_purple,p,-1,1673371139.121356,24
60.733511,0.000000,key_down,p,80,1673371139.870000,24
60.741110,0.202704,gap_element,auto_generated,-1,1673371139.877599,25
60.943814,1.114874,catch_purple,p,-1,1673371140.080303,26
62.060511,0.000000,key_down,p,80,1673371141.197000,26
62.066484,0.202704,gap_element,auto_generated,-1,1673371141.202973,27
62.276984,0.662688,catch_orange,o,-1,1673371141.413473,28
62.940511,0.000000,key_down,o,79,1673371142.077000,28
62.947468,0.194908,gap_element,auto_generated,-1,1673371142.083957,29
63.150172,0.592520,catch_green,g,-1,1673371142.286661,30
63.740511,0.000000,key_down,g,71,1673371142.877000,30
63.742692,0.210501,gap_element,auto_generated,-1,1673371142.879181,31
63.960989,0.709465,catch_orange,o,-1,1673371143.097478,32
64.669511,0.000000,key_down,o,79,1673371143.806000,32
64.678250,0.202705,gap_element,auto_generated,-1,1673371143.814739,33
64.880955,0.576927,catch_red,r,-1,1673371144.017444,34
65.452511,0.000000,key_down,r,82,1673371144.589000,34
65.457882,0.202704,gap_element,auto_generated,-1,1673371144.594371,35
65.668383,0.537946,match_red,r,-1,1673371144.804872,36
66.205511,0.000000,key_down,r,82,1673371145.342000,36
66.214125,0.194908,gap_element,auto_generated,-1,1673371145.350614,37
66.416829,0.717261,catch_green,g,-1,1673371145.553318,38
67.131511,0.000000,key_down,g,71,1673371146.268000,38
67.134090,0.218297,gap_element,auto_generated,-1,1673371146.270579,39
67.360184,0.491168,match_green,g,-1,1673371146.496673,40
67.852511,0.000000,key_down,g,71,1673371146.989000,40
67.859148,0.202704,gap_element,auto_generated,-1,1673371146.995637,41
68.069649,0.857595,catch_red,r,-1,1673371147.206138,42
68.926511,0.000000,key_down,r,82,1673371148.063000,42
68.927244,0.202704,gap_element,auto_generated,-1,1673371148.063733,43
69.137744,0.779632,catch_orange,o,-1,1673371148.274233,44
69.916511,0.000000,key_down,o,79,1673371149.053000,44
69.917376,0.210500,gap_element,auto_generated,-1,1673371149.053865,45
70.135673,0.849798,catch_green,g,-1,1673371149.272162,46
70.988511,0.000000,key_down,g,71,1673371150.125000,46
70.993268,0.210500,gap_element,auto_generated,-1,1673371150.129757,47
71.203768,0.732854,catch_purple,p,-1,1673371150.340257,48
71.932511,0.000000,key_down,p,80,1673371151.069000,48
71.936622,0.218297,gap_element,auto_generated,-1,1673371151.073111,49
72.154919,0.545742,catch_red,r,-1,1673371151.291408,50
72.700511,0.000000,key_down,r,82,1673371151.837000,50
72.700661,0.218297,gap_element,auto_generated,-1,1673371151.837150,51
72.918958,0.569131,match_red,r,-1,1673371152.055447,52
73.484511,0.000000,key_down,r,82,1673371152.621000,52
73.488089,0.210501,gap_element,auto_generated,-1,1673371152.624578,53
73.698590,0.600316,catch_orange,o,-1,1673371152.835079,54
74.300511,0.000000,key_down,o,79,1673371153.437000,54
74.306703,0.202704,gap_element,auto_generated,-1,1673371153.443192,55
74.517203,0.662687,catch_green,g,-1,1673371153.653692,56
75.182511,0.000000,key_down,g,71,1673371154.319000,56
75.187686,0.210501,gap_element,auto_generated,-1,1673371154.324175,57
75.405983,0.943355,match_purple,p,-1,1673371154.542472,58
76.350511,0.000000,key_down,p,80,1673371155.487000,58
76.357134,0.210501,gap_element,auto_generated,-1,1673371155.493623,59
76.567635,0.888780,catch_orange,o,-1,1673371155.704124,60
77.452511,0.000000,key_down,o,79,1673371156.589000,60
77.456415,0.218297,gap_element,auto_generated,-1,1673371156.592904,61
77.674712,0.452186,catch_orange,o,-1,1673371156.811201,62
78.124511,0.000000,key_down,o,79,1673371157.261000,62
78.126898,0.202705,gap_element,auto_generated,-1,1673371157.263387,63
78.337399,0.857595,catch_purple,p,-1,1673371157.473888,64
79.196511,0.000000,key_down,p,80,1673371158.333000,64
79.202790,0.202704,gap_element,auto_generated,-1,1673371158.339279,65
79.413291,0.600316,catch_green,g,-1,1673371158.549780,66
80.012511,0.000000,key_down,g,71,1673371159.149000,66
80.021403,0.210501,gap_element,auto_generated,-1,1673371159.157892,67
80.239700,0.537946,match_green,g,-1,1673371159.376189,68
80.780511,0.000000,key_down,g,71,1673371159.917000,68
80.785442,0.210501,gap_element,auto_generated,-1,1673371159.921931,69
80.995943,0.475576,catch_green,g,-1,1673371160.132432,70
81.469511,0.000000,key_down,g,71,1673371160.606000,70
81.471519,0.218296,gap_element,auto_generated,-1,1673371160.608008,71
81.697612,0.615909,match_orange,o,-1,1673371160.834101,72
82.316511,0.000000,key_down,o,79,1673371161.453000,72
82.321317,0.218297,gap_element,auto_generated,-1,1673371161.457806,73
82.539614,0.608113,catch_red,r,-1,1673371161.676103,74
83.147511,0.000000,key_down,r,82,1673371162.284000,74
83.155523,0.202704,gap_element,auto_generated,-1,1673371162.292012,75
83.366024,0.647094,catch_purple,p,-1,1673371162.502513,76
84.011511,0.000000,key_down,p,80,1673371163.148000,76
84.013118,0.210501,gap_element,auto_generated,-1,1673371163.149607,77
84.223619,0.537946,catch_purple,p,-1,1673371163.360108,78
84.763511,0.000000,key_down,p,80,1673371163.900000,78
84.769361,0.210500,gap_element,auto_generated,-1,1673371163.905850,79
84.987658,0.927761,catch_red,r,-1,1673371164.124147,80
85.916511,0.000000,key_down,r,82,1673371165.053000,80
85.923216,0.210500,gap_element,auto_generated,-1,1673371165.059705,81
86.133716,1.255207,catch_orange,o,-1,1673371165.270205,82
87.387511,0.000000,key_down,o,79,1673371166.524000,82
87.396720,0.210500,gap_element,auto_generated,-1,1673371166.533209,83
87.615017,1.434522,catch_red,r,-1,1673371166.751506,84
89.051511,0.000000,key_down,r,82,1673371168.188000,84
89.057335,0.218297,gap_element,auto_generated,-1,1673371168.193824,85
89.275632,1.091485,catch_purple,p,-1,1673371168.412121,86
90.364511,0.000000,key_down,p,80,1673371169.501000,86
90.367117,0.218297,gap_element,auto_generated,-1,1673371169.503606,87
90.585414,0.436594,catch_purple,p,-1,1673371169.721903,88
91.019511,0.000000,key_down,p,80,1673371170.156000,88
91.022008,0.202704,gap_element,auto_generated,-1,1673371170.158497,89
91.232508,1.138262,match_red,r,-1,1673371170.368997,90
91.998511,0.000000,key_down,r,79,1673371171.135000,90
92.366511,0.000000,key_down,r,82,1673371171.503000,90
92.370770,0.210501,gap_element,auto_generated,-1,1673371171.507259,91
92.581271,0.919965,match_green,g,-1,1673371171.717760,92
93.500511,0.000000,key_down,g,71,1673371172.637000,92
93.501236,0.210501,gap_element,auto_generated,-1,1673371172.637725,93
93.711737,1.036910,catch_red,r,-1,1673371172.848226,94
94.750511,0.000000,key_down,r,82,1673371173.887000,94
94.756444,0.218297,gap_element,auto_generated,-1,1673371173.892933,95
94.974741,0.701668,catch_orange,o,-1,1673371174.111230,96
95.676409,0.210501,gap_element,auto_generated,-1,1673371174.812898,97
95.676511,0.000000,key_down,o,79,1673371174.813000,96
95.886910,0.397612,match_orange,o,-1,1673371175.023399,98
96.285511,0.000000,key_down,o,79,1673371175.422000,98
96.292318,0.218297,gap_element,auto_generated,-1,1673371175.428807,99
96.510615,0.717261,catch_green,g,-1,1673371175.647104,100
97.228511,0.000000,key_down,g,71,1673371176.365000,100
97.235673,0.218297,gap_element,auto_generated,-1,1673371176.372162,101
97.453970,0.459982,catch_green,g,-1,1673371176.590459,102
97.916511,0.000000,key_down,g,71,1673371177.053000,102
97.921749,0.218296,gap_element,auto_generated,-1,1673371177.058238,103
98.140045,0.350835,catch_green,g,-1,1673371177.276534,104
98.492511,0.000000,key_down,g,71,1673371177.629000,104
98.498676,0.210501,gap_element,auto_generated,-1,1673371177.635165,105
98.716973,1.247411,catch_purple,p,-1,1673371177.853462,106
99.963511,0.000000,key_down,p,80,1673371179.100000,106
99.964384,0.218297,gap_element,auto_generated,-1,1673371179.100873,107
100.182681,0.631501,catch_red,r,-1,1673371179.319170,108
100.812511,0.000000,key_down,r,82,1673371179.949000,108
100.814182,0.210501,gap_element,auto_generated,-1,1673371179.950671,109
101.024683,0.654891,catch_orange,o,-1,1673371180.161172,110
101.676511,0.000000,key_down,o,79,1673371180.813000,110
101.679574,0.210500,gap_element,auto_generated,-1,1673371180.816063,111
101.890074,0.958947,match_purple,p,-1,1673371181.026563,112
102.844511,0.000000,key_down,p,80,1673371181.981000,112
102.849021,0.210501,gap_element,auto_generated,-1,1673371181.985510,113
103.059522,2.027042,faster,NULL,-1,1673371182.196011,114
103.059522,2.027042,phase_Stimuli_phase_1a,15128,-1,1673371182.196011,115
105.094361,43.893268,phase_Stimuli_phase_2,15129,-1,1673371184.230850,116
105.094361,0.966743,catch_purple,p,-1,1673371184.230850,117
105.772511,0.000000,key_down,p,79,1673371184.909000,117
106.062511,0.000000,key_down,p,80,1673371185.199000,117
106.068900,0.210501,gap_element,auto_generated,-1,1673371185.205389,118
106.287197,0.561335,catch_orange,o,-1,1673371185.423686,119
106.845511,0.000000,key_down,o,79,1673371185.982000,119
106.848532,0.210501,gap_element,auto_generated,-1,1673371185.985021,120
107.066829,0.849799,catch_red,r,-1,1673371186.203318,121
107.916511,0.000000,key_down,r,82,1673371187.053000,121
107.916628,0.210500,gap_element,auto_generated,-1,1673371187.053117,122
108.127128,0.826410,match_orange,o,-1,1673371187.263617,123
108.956511,0.000000,key_down,o,79,1673371188.093000,123
108.961334,0.202704,gap_element,auto_generated,-1,1673371188.097823,124
109.171835,0.647094,catch_red,r,-1,1673371188.308324,125
109.820511,0.000000,key_down,r,82,1673371188.957000,125
109.826726,0.210500,gap_element,auto_generated,-1,1673371188.963215,126
110.037226,0.452187,catch_green,g,-1,1673371189.173715,127
110.491511,0.000000,key_down,g,71,1673371189.628000,127
110.497209,0.202704,gap_element,auto_generated,-1,1673371189.633698,128
110.699913,0.576928,catch_green,g,-1,1673371189.836402,129
111.276511,0.000000,key_down,g,71,1673371190.413000,129
111.276841,0.218296,gap_element,auto_generated,-1,1673371190.413330,130
111.502934,0.561335,catch_purple,p,-1,1673371190.639423,131
112.060511,0.000000,key_down,p,80,1673371191.197000,131
112.064269,0.210500,gap_element,auto_generated,-1,1673371191.200758,132
112.274769,0.647095,catch_red,r,-1,1673371191.411258,133
112.924511,0.000000,key_down,r,82,1673371192.061000,133
112.929660,0.202704,gap_element,auto_generated,-1,1673371192.066149,134
113.132364,0.912169,catch_orange,o,-1,1673371192.268853,135
114.044511,0.000000,key_down,o,79,1673371193.181000,135
114.044533,0.210501,gap_element,auto_generated,-1,1673371193.181022,136
114.255034,1.083688,catch_green,g,-1,1673371193.391523,137
115.340511,0.000000,key_down,g,71,1673371194.477000,137
115.346518,0.202705,gap_element,auto_generated,-1,1673371194.483007,138
115.557019,1.068095,catch_purple,p,-1,1673371194.693508,139
116.268511,0.000000,key_down,p,79,1673371195.405000,139
116.621511,0.000000,key_down,p,80,1673371195.758000,139
116.625114,0.202705,gap_element,auto_generated,-1,1673371195.761603,140
116.835615,0.584724,match_purple,p,-1,1673371195.972104,141
117.421511,0.000000,key_down,p,80,1673371196.558000,141
