latency,duration,type,marker_value,key,timestamp,marker_id
0.163707,11.256808,sensor_check,true,-1,1673354408.746519,1
11.420515,0.000000,published_date,2022-02-07T03:38:14.751783Z,-1,1673354420.003327,2
11.420515,6.969243,phase_calibration,calibration,-1,1673354420.003327,3
11.420515,6.969243,sound_check,true,-1,1673354420.003327,4
18.389758,45.947109,phase_Calibration_phase_1,15152,-1,1673354426.972570,5
18.389758,45.947109,eyesopen_element_pre,NULL,-1,1673354426.972570,6
64.344662,140.632143,active_period,true,-1,1673354472.927474,7
64.422618,17.134670,phase_Instructions_Phase_1,15153,-1,1673354473.005430,8
64.422618,9.463826,instructions1,NULL,-1,1673354473.005430,9
73.886444,1.465568,instructionsfinal,NULL,-1,1673354482.469256,10
75.352012,6.205276,text_element_cqxq,NULL,-1,1673354483.934824,11
81.557288,13.346022,phase_Example,15154,-1,1673354490.140100,12
81.557288,1.216110,example1,NULL,-1,1673354490.140100,13
82.781193,0.506713,gap_element,auto_generated,-1,1673354491.364005,14
83.295701,1.208314,example2,NULL,-1,1673354491.878513,15
83.807188,0.000000,key_down,NULL,32,1673354492.390000,15
84.504015,0.522304,gap_element,auto_generated,-1,1673354493.086827,16
85.026319,1.216109,pattern,NULL,-1,1673354493.609131,17
86.242428,0.514508,gap_element,auto_generated,-1,1673354494.825240,18
86.764731,1.208314,example3,NULL,-1,1673354495.347543,19
87.182188,0.000000,key_down,NULL,32,1673354495.765000,19
87.980841,0.506712,gap_element,auto_generated,-1,1673354496.563653,20
88.487553,5.909045,text_element_m8fp,NULL,-1,1673354497.070365,21
94.396598,0.506712,gap_element,auto_generated,-1,1673354502.979410,22
94.903310,3.048069,phase_RSG,15155,-1,1673354503.486122,23
94.903310,1.021220,ready,NULL,-1,1673354503.486122,24
95.924530,1.005629,set,NULL,-1,1673354504.507342,25
96.930159,1.021220,go,NULL,-1,1673354505.512971,26
97.951379,35.345129,phase_Stimuli_phase_1,15151,-1,1673354506.534191,27
97.951379,0.272845,plain_hit,NULL,-1,1673354506.534191,28
98.223188,0.000000,key_down,NULL,32,1673354506.806000,28
98.224224,0.210480,gap_element,auto_generated,-1,1673354506.807036,29
98.442500,0.569077,plain_hit,NULL,-1,1673354507.025312,30
99.007188,0.000000,key_down,NULL,32,1673354507.590000,30
99.011577,0.218276,gap_element,auto_generated,-1,1673354507.594389,31
99.229853,0.381983,plain_hit,NULL,-1,1673354507.812665,32
99.615188,0.000000,key_down,NULL,32,1673354508.198000,32
99.619632,0.210480,gap_element,auto_generated,-1,1673354508.202444,33
99.830112,0.802944,pattern,NULL,-1,1673354508.412924,34
100.640852,0.202685,gap_element,auto_generated,-1,1673354509.223664,35
100.843537,0.343005,plain_hit,NULL,-1,1673354509.426349,36
101.183188,0.000000,key_down,NULL,32,1673354509.766000,36
101.186542,0.210480,gap_element,auto_generated,-1,1673354509.769354,37
101.397022,0.397575,plain_hit,NULL,-1,1673354509.979834,38
101.791188,0.000000,key_down,NULL,32,1673354510.374000,38
101.794597,0.202685,gap_element,auto_generated,-1,1673354510.377409,39
101.997282,0.405369,plain_hit,NULL,-1,1673354510.580094,40
102.399188,0.000000,key_down,NULL,32,1673354510.982000,40
102.402651,0.210481,gap_element,auto_generated,-1,1673354510.985463,41
102.620927,1.013425,pattern,NULL,-1,1673354511.203739,42
103.634352,0.202685,gap_element,auto_generated,-1,1673354512.217164,43
