latency,duration,type,marker_value,key,timestamp,marker_id
0.155913,70.230847,sensor_check,true,-1,1673354985.092622,1
70.386760,0.000000,published_date,2022-02-07T03:36:36.403880Z,-1,1673355055.323469,2
70.386760,3.515830,phase_calibration,calibration,-1,1673355055.323469,3
70.386760,3.515830,sound_check,true,-1,1673355055.323469,4
73.902590,27.814814,eyesopen_element_pre,NULL,-1,1673355058.839299,5
73.902590,27.814814,phase_Calibration_phase_1,15124,-1,1673355058.839299,6
101.725200,138.847998,active_period,true,-1,1673355086.661909,7
101.826543,3.936794,instructions1,NULL,-1,1673355086.763252,8
101.826543,13.455260,phase_Instructions,15125,-1,1673355086.763252,9
105.763337,5.488125,instructions2,NULL,-1,1673355090.700046,10
108.399291,0.000000,key_down,NULL,71,1673355093.336000,10
111.251462,1.372031,instructionsfinal,NULL,-1,1673355096.188171,11
112.622291,0.000000,key_down,NULL,80,1673355097.559000,11
112.623493,2.658310,text_element_31yn,NULL,-1,1673355097.560202,12
115.281803,1.013432,ready,NULL,-1,1673355100.218512,13
115.281803,3.040297,phase_RSG,15126,-1,1673355100.218512,14
116.295235,1.005637,set,NULL,-1,1673355101.231944,15
117.300872,1.021228,go,NULL,-1,1673355102.237581,16
118.329895,0.935476,catch_purple,p,-1,1673355103.266604,17
118.329895,30.028774,phase_Stimuli_phase_1,15127,-1,1673355103.266604,18
119.262291,0.000000,key_down,p,80,1673355104.199000,17
119.265371,0.210482,gap_element,auto_generated,-1,1673355104.202080,19
119.483649,0.530103,match_red,r,-1,1673355104.420358,20
120.014291,0.000000,key_down,r,82,1673355104.951000,20
120.021547,0.210482,gap_element,auto_generated,-1,1673355104.958256,21
120.239825,0.849724,catch_red,r,-1,1673355105.176534,22
121.086291,0.000000,key_down,r,82,1673355106.023000,22
121.089549,0.218278,gap_element,auto_generated,-1,1673355106.026258,23
121.307827,1.044614,catch_green,g,-1,1673355106.244536,24
122.079291,0.000000,key_down,g,80,1673355107.016000,24
122.350291,0.000000,key_down,g,71,1673355107.287000,24
122.352441,0.202687,gap_element,auto_generated,-1,1673355107.289150,25
122.562923,0.639242,catch_orange,o,-1,1673355107.499632,26
123.198291,0.000000,key_down,o,79,1673355108.135000,26
123.202165,0.202687,gap_element,auto_generated,-1,1673355108.138874,27
123.404852,0.452146,match_orange,o,-1,1673355108.341561,28
123.854291,0.000000,key_down,o,79,1673355108.791000,28
123.856998,0.210482,gap_element,auto_generated,-1,1673355108.793707,29
124.067480,0.732790,catch_purple,p,-1,1673355109.004189,30
124.798291,0.000000,key_down,p,80,1673355109.735000,30
124.800270,0.210482,gap_element,auto_generated,-1,1673355109.736979,31
125.018548,0.693811,catch_green,g,-1,1673355109.955257,32
125.710291,0.000000,key_down,g,71,1673355110.647000,32
125.712359,0.202686,gap_element,auto_generated,-1,1673355110.649068,33
125.922841,0.639242,catch_orange,o,-1,1673355110.859550,34
126.558291,0.000000,key_down,o,79,1673355111.495000,34
126.562083,0.210482,gap_element,auto_generated,-1,1673355111.498792,35
126.780360,0.654833,catch_red,r,-1,1673355111.717069,36
127.438291,0.000000,key_down,r,82,1673355112.375000,36
127.442989,0.210482,gap_element,auto_generated,-1,1673355112.379698,37
127.661267,0.771767,catch_purple,p,-1,1673355112.597976,38
128.430291,0.000000,key_down,p,80,1673355113.367000,38
128.433034,0.202687,gap_element,auto_generated,-1,1673355113.369743,39
128.643516,1.005637,catch_orange,o,-1,1673355113.580225,40
129.646291,0.000000,key_down,o,79,1673355114.583000,40
129.649153,0.210482,gap_element,auto_generated,-1,1673355114.585862,41
129.867431,0.545694,match_green,g,-1,1673355114.804140,42
130.414291,0.000000,key_down,g,71,1673355115.351000,42
130.420920,0.210482,gap_element,auto_generated,-1,1673355115.357629,43
130.639198,0.561286,match_purple,p,-1,1673355115.575907,44
131.198291,0.000000,key_down,p,80,1673355116.135000,44
131.200484,0.218277,gap_element,auto_generated,-1,1673355116.137193,45
131.426557,0.444351,catch_red,r,-1,1673355116.363266,46
131.871291,0.000000,key_down,r,82,1673355116.808000,46
131.878703,0.210483,gap_element,auto_generated,-1,1673355116.815412,47
132.089186,0.709402,catch_green,g,-1,1673355117.025895,48
132.798291,0.000000,key_down,g,71,1673355117.735000,48
132.806384,0.226073,gap_element,auto_generated,-1,1673355117.743093,49
133.032457,0.724994,catch_purple,p,-1,1673355117.969166,50
133.758291,0.000000,key_down,p,80,1673355118.695000,50
133.765246,0.202687,gap_element,auto_generated,-1,1673355118.701955,51
133.967933,0.686015,catch_red,r,-1,1673355118.904642,52
134.654291,0.000000,key_down,r,82,1673355119.591000,52
134.661744,0.210482,gap_element,auto_generated,-1,1673355119.598453,53
134.872226,0.678220,match_purple,p,-1,1673355119.808935,54
135.550291,0.000000,key_down,p,80,1673355120.487000,54
135.550446,0.218278,gap_element,auto_generated,-1,1673355120.487155,55
135.768724,0.818541,catch_orange,o,-1,1673355120.705433,56
136.590291,0.000000,key_down,o,79,1673355121.527000,56
136.595061,0.202686,gap_element,auto_generated,-1,1673355121.531770,57
136.797747,0.592468,match_red,r,-1,1673355121.734456,58
137.390291,0.000000,key_down,r,82,1673355122.327000,58
137.398011,0.194891,gap_element,auto_generated,-1,1673355122.334720,59
137.600697,0.670425,catch_orange,o,-1,1673355122.537406,60
138.270291,0.000000,key_down,o,79,1673355123.207000,60
138.271122,0.218277,gap_element,auto_generated,-1,1673355123.207831,61
138.489399,0.584673,catch_red,r,-1,1673355123.426108,62
139.070291,0.000000,key_down,r,82,1673355124.007000,62
139.074072,0.202686,gap_element,auto_generated,-1,1673355124.010781,63
139.284554,0.841928,catch_red,r,-1,1673355124.221263,64
139.774291,0.000000,key_down,r,79,1673355124.711000,64
140.126291,0.000000,key_down,r,82,1673355125.063000,64
140.134278,0.210482,gap_element,auto_generated,-1,1673355125.070987,65
140.352555,0.927680,catch_green,g,-1,1673355125.289264,66
140.910291,0.000000,key_down,g,80,1673355125.847000,66
141.278291,0.000000,key_down,g,71,1673355126.215000,66
141.288031,0.210482,gap_element,auto_generated,-1,1673355126.224740,67
141.506309,0.639242,catch_purple,p,-1,1673355126.443018,68
142.142291,0.000000,key_down,p,80,1673355127.079000,68
142.145551,0.218277,gap_element,auto_generated,-1,1673355127.082260,69
142.363828,0.693811,match_orange,o,-1,1673355127.300537,70
143.054291,0.000000,key_down,o,79,1673355127.991000,70
143.057639,0.218278,gap_element,auto_generated,-1,1673355127.994348,71
143.275917,0.802950,catch_green,g,-1,1673355128.212626,72
144.078291,0.000000,key_down,g,71,1673355129.015000,72
144.086663,0.210482,gap_element,auto_generated,-1,1673355129.023372,73
144.297145,0.584672,catch_green,g,-1,1673355129.233854,74
144.878291,0.000000,key_down,g,71,1673355129.815000,74
144.881817,0.202687,gap_element,auto_generated,-1,1673355129.818526,75
145.092300,0.826336,catch_purple,p,-1,1673355130.029009,76
145.918291,0.000000,key_down,p,80,1673355130.855000,76
145.918636,0.210482,gap_element,auto_generated,-1,1673355130.855345,77
146.136914,0.756176,catch_orange,o,-1,1673355131.073623,78
146.894291,0.000000,key_down,o,79,1673355131.831000,78
146.900886,0.210482,gap_element,auto_generated,-1,1673355131.837595,79
147.111368,1.029023,match_green,g,-1,1673355132.048077,80
148.142291,0.000000,key_down,g,71,1673355133.079000,80
148.148187,0.210482,gap_element,auto_generated,-1,1673355133.084896,81
148.358669,2.011273,faster,NULL,-1,1673355133.295378,82
148.358669,2.011273,phase_Stimuli_phase_1a,15128,-1,1673355133.295378,83
150.377738,42.875975,phase_Stimuli_phase_2,15129,-1,1673355135.314447,84
150.377738,0.709402,catch_red,r,-1,1673355135.314447,85
151.086291,0.000000,key_down,r,82,1673355136.023000,85
151.094936,0.202686,gap_element,auto_generated,-1,1673355136.031645,86
151.297622,0.849724,catch_green,g,-1,1673355136.234331,87
152.143291,0.000000,key_down,g,71,1673355137.080000,87
152.147346,0.218278,gap_element,auto_generated,-1,1673355137.084055,88
152.365624,0.686015,catch_purple,p,-1,1673355137.302333,89
153.054291,0.000000,key_down,p,80,1673355137.991000,89
153.059435,0.226073,gap_element,auto_generated,-1,1673355137.996144,90
153.285508,0.662629,catch_purple,p,-1,1673355138.222217,91
153.950291,0.000000,key_down,p,80,1673355138.887000,91
153.955933,0.210482,gap_element,auto_generated,-1,1673355138.892642,92
154.166415,0.459942,match_purple,p,-1,1673355139.103124,93
154.622291,0.000000,key_down,p,80,1673355139.559000,93
154.626357,0.218278,gap_element,auto_generated,-1,1673355139.563066,94
154.844635,0.608059,catch_red,r,-1,1673355139.781344,95
155.454291,0.000000,key_down,r,82,1673355140.391000,95
155.460490,0.202686,gap_element,auto_generated,-1,1673355140.397199,96
155.670972,0.631446,catch_orange,o,-1,1673355140.607681,97
156.302291,0.000000,key_down,o,79,1673355141.239000,97
156.310214,0.210482,gap_element,auto_generated,-1,1673355141.246923,98
156.520696,0.436555,match_orange,o,-1,1673355141.457405,99
156.958291,0.000000,key_down,o,79,1673355141.895000,99
156.965047,0.218277,gap_element,auto_generated,-1,1673355141.901756,100
157.183324,0.514512,match_red,r,-1,1673355142.120033,101
157.694291,0.000000,key_down,r,82,1673355142.631000,101
157.697836,0.210482,gap_element,auto_generated,-1,1673355142.634545,102
157.908318,0.413169,catch_green,g,-1,1673355142.845027,103
158.318291,0.000000,key_down,g,71,1673355143.255000,103
158.321487,0.218277,gap_element,auto_generated,-1,1673355143.258196,104
158.539764,0.561286,catch_orange,o,-1,1673355143.476473,105
159.102291,0.000000,key_down,o,79,1673355144.039000,105
159.108846,0.202686,gap_element,auto_generated,-1,1673355144.045555,106
159.311532,0.561285,catch_red,r,-1,1673355144.248241,107
159.870291,0.000000,key_down,r,82,1673355144.807000,107
159.872817,0.210482,gap_element,auto_generated,-1,1673355144.809526,108
160.083299,0.717199,catch_orange,o,-1,1673355145.020008,109
160.798291,0.000000,key_down,o,79,1673355145.735000,109
160.800498,0.210481,gap_element,auto_generated,-1,1673355145.737207,110
161.018775,0.631446,catch_purple,p,-1,1673355145.955484,111
161.646291,0.000000,key_down,p,80,1673355146.583000,111
161.650221,0.218278,gap_element,auto_generated,-1,1673355146.586930,112
161.868499,0.623651,match_green,g,-1,1673355146.805208,113
162.494291,0.000000,key_down,g,71,1673355147.431000,113
162.499945,0.202687,gap_element,auto_generated,-1,1673355147.436654,114
162.710427,0.436556,catch_green,g,-1,1673355147.647136,115
163.150291,0.000000,key_down,g,71,1673355148.087000,115
163.154778,0.218278,gap_element,auto_generated,-1,1673355148.091487,116
163.373056,0.545694,match_red,r,-1,1673355148.309765,117
163.918291,0.000000,key_down,r,82,1673355148.855000,117
163.926546,0.210482,gap_element,auto_generated,-1,1673355148.863255,118
164.137028,0.647037,catch_purple,p,-1,1673355149.073737,119
164.782291,0.000000,key_down,p,80,1673355149.719000,119
164.784065,0.202687,gap_element,auto_generated,-1,1673355149.720774,120
164.994547,0.654833,catch_green,g,-1,1673355149.931256,121
165.646291,0.000000,key_down,g,71,1673355150.583000,121
165.649380,0.202687,gap_element,auto_generated,-1,1673355150.586089,122
165.859863,0.615854,catch_red,r,-1,1673355150.796572,123
166.478291,0.000000,key_down,r,82,1673355151.415000,123
166.483513,0.202686,gap_element,auto_generated,-1,1673355151.420222,124
166.686199,0.802951,catch_orange,o,-1,1673355151.622908,125
167.486291,0.000000,key_down,o,79,1673355152.423000,125
167.489150,0.202686,gap_element,auto_generated,-1,1673355152.425859,126
167.691836,0.436555,catch_orange,o,-1,1673355152.628545,127
