latency,duration,type,marker_value,key,timestamp,marker_id
0.125642,456.482556,sensor_check,true,-1,1673345838.121134,1
456.608198,0.000000,published_date,2022-02-07T03:36:36.403880Z,-1,1673346294.603690,2
456.608198,19.375882,phase_calibration,calibration,-1,1673346294.603690,3
456.608198,19.375882,sound_check,true,-1,1673346294.603690,4
475.984080,35.505422,phase_Calibration_phase_1,15124,-1,1673346313.979572,5
475.984080,35.505422,eyesopen_element_pre,NULL,-1,1673346313.979572,6
511.497306,133.615602,active_period,true,-1,1673346349.492798,7
511.583747,9.074671,phase_Instructions,15125,-1,1673346349.579239,8
511.583747,4.183515,instructions1,NULL,-1,1673346349.579239,9
515.767262,2.581186,instructions2,NULL,-1,1673346353.762754,10
517.350508,0.000000,key_down,NULL,71,1673346355.346000,10
518.348448,1.279037,instructionsfinal,NULL,-1,1673346356.343940,11
519.623508,0.000000,key_down,NULL,80,1673346357.619000,11
519.635188,1.023230,text_element_31yn,NULL,-1,1673346357.630680,12
520.666222,3.031462,phase_RSG,15126,-1,1673346358.661714,13
520.666222,1.007923,ready,NULL,-1,1673346358.661714,14
521.681949,1.008422,set,NULL,-1,1673346359.677441,15
522.690371,1.007313,go,NULL,-1,1673346360.685863,16
523.697684,46.241579,phase_Stimuli_phase_1,15127,-1,1673346361.693176,17
523.697684,0.969396,catch_red,r,-1,1673346361.693176,18
524.663508,0.000000,key_down,r,82,1673346362.659000,18
524.667080,0.217890,gap_element,auto_generated,-1,1673346362.662572,19
524.892773,1.295033,catch_orange,o,-1,1673346362.888265,20
526.183508,0.000000,key_down,o,79,1673346364.179000,20
526.187806,0.217791,gap_element,auto_generated,-1,1673346364.183298,21
526.405597,0.881463,catch_green,g,-1,1673346364.401089,22
527.287508,0.000000,key_down,g,71,1673346365.283000,22
527.294863,0.202584,gap_element,auto_generated,-1,1673346365.290355,23
527.497447,0.701289,match_green,g,-1,1673346365.492939,24
528.199508,0.000000,key_down,g,71,1673346366.195000,24
528.206539,0.210087,gap_element,auto_generated,-1,1673346366.202031,25
528.416626,0.599947,catch_purple,p,-1,1673346366.412118,26
529.015508,0.000000,key_down,p,80,1673346367.011000,26
529.016573,0.203383,gap_element,auto_generated,-1,1673346367.012065,27
529.227759,0.795228,catch_green,g,-1,1673346367.223251,28
530.023508,0.000000,key_down,g,71,1673346368.019000,28
530.030790,0.211186,gap_element,auto_generated,-1,1673346368.026282,29
530.249679,0.670376,catch_purple,p,-1,1673346368.245171,30
530.919508,0.000000,key_down,p,80,1673346368.915000,30
530.920055,0.210287,gap_element,auto_generated,-1,1673346368.915547,31
531.138145,0.631160,match_red,r,-1,1673346369.133637,32
531.766508,0.000000,key_down,r,82,1673346369.762000,32
531.769305,0.202685,gap_element,auto_generated,-1,1673346369.764797,33
531.979793,0.734700,catch_orange,o,-1,1673346369.975285,34
532.711508,0.000000,key_down,o,79,1673346370.707000,34
532.714493,0.211886,gap_element,auto_generated,-1,1673346370.709985,35
532.934182,0.657068,catch_purple,p,-1,1673346370.929674,36
533.591508,0.000000,key_down,p,80,1673346371.587000,36
533.599053,0.203882,gap_element,auto_generated,-1,1673346371.594545,37
533.802935,0.506809,catch_orange,o,-1,1673346371.798427,38
534.311508,0.000000,key_down,o,79,1673346372.307000,38
534.317647,0.210986,gap_element,auto_generated,-1,1673346372.313139,39
534.528633,0.619257,match_orange,o,-1,1673346372.524125,40
