latency,duration,type,marker_value,key,timestamp,marker_id
0.132190,5.753025,sensor_check,true,-1,1673533409.002447,1
5.892915,34.535954,phase_calibration,calibration,-1,1673533414.763172,2
5.892915,0.000000,published_date,2022-02-07T03:38:14.751783Z,-1,1673533414.763172,3
5.892915,34.535954,sound_check,true,-1,1673533414.763172,4
40.436664,36.912245,eyesopen_element_pre,NULL,-1,1673533449.306921,5
40.436664,36.904348,phase_Calibration_phase_1,15152,-1,1673533449.306921,6
77.348909,155.763109,active_period,true,-1,1673533486.219166,7
77.441979,17.720104,phase_Instructions_Phase_1,15153,-1,1673533486.312236,8
77.441979,14.214589,instructions1,NULL,-1,1673533486.312236,9
91.656568,2.873719,instructionsfinal,NULL,-1,1673533500.526825,10
94.530287,0.631796,text_element_cqxq,NULL,-1,1673533503.400544,11
95.162083,1.216013,example1,NULL,-1,1673533504.032340,12
95.162083,29.856584,phase_Example,15154,-1,1673533504.032340,13
96.278743,0.000000,key_down,NULL,32,1673533505.149000,12
96.378096,0.514553,gap_element,auto_generated,-1,1673533505.248353,14
96.900346,1.197366,example2,NULL,-1,1673533505.770603,15
97.557743,0.000000,key_down,NULL,32,1673533506.428000,15
98.097712,0.516472,gap_element,auto_generated,-1,1673533506.967969,16
98.621880,1.209770,pattern,NULL,-1,1673533507.492137,17
99.839447,0.499282,gap_element,auto_generated,-1,1673533508.709704,18
100.346426,1.208573,example3,NULL,-1,1673533509.216683,19
100.837743,0.000000,key_down,NULL,32,1673533509.708000,19
101.554999,0.514374,gap_element,auto_generated,-1,1673533510.425256,20
102.069373,22.442468,text_element_m8fp,NULL,-1,1673533510.939630,21
124.511841,0.506826,gap_element,auto_generated,-1,1673533533.382098,22
125.018667,3.033253,phase_RSG,15155,-1,1673533533.888924,23
125.018667,1.005956,ready,NULL,-1,1673533533.888924,24
126.032420,1.005114,set,NULL,-1,1673533534.902677,25
127.045329,1.014386,go,NULL,-1,1673533535.915586,26
128.059715,34.721151,phase_Stimuli_phase_1,15151,-1,1673533536.929972,27
128.059715,1.215586,pattern,NULL,-1,1673533536.929972,28
129.275301,0.201387,gap_element,auto_generated,-1,1673533538.145558,29
129.484384,0.813138,pattern,NULL,-1,1673533538.354641,30
130.297522,0.209083,gap_element,auto_generated,-1,1673533539.167779,31
130.506605,0.379486,plain_hit,NULL,-1,1673533539.376862,32
130.885743,0.000000,key_down,NULL,32,1673533539.756000,32
130.893786,0.209183,gap_element,auto_generated,-1,1673533539.764043,33
131.110665,0.433655,plain_hit,NULL,-1,1673533539.980922,34
131.541743,0.000000,key_down,NULL,32,1673533540.412000,34
131.544320,0.209080,gap_element,auto_generated,-1,1673533540.414577,35
131.753400,0.805346,pattern,NULL,-1,1673533540.623657,36
132.558746,0.216877,gap_element,auto_generated,-1,1673533541.429003,37
132.783318,0.340806,plain_hit,NULL,-1,1673533541.653575,38
133.125743,0.000000,key_down,NULL,32,1673533541.996000,38
133.131819,0.209281,gap_element,auto_generated,-1,1673533542.002076,39
133.341100,0.427060,plain_hit,NULL,-1,1673533542.211357,40
133.765743,0.000000,key_down,NULL,32,1673533542.636000,40
133.768160,0.209679,gap_element,auto_generated,-1,1673533542.638417,41
133.977839,0.350502,plain_hit,NULL,-1,1673533542.848096,42
134.325743,0.000000,key_down,NULL,32,1673533543.196000,42
134.328341,0.217777,gap_element,auto_generated,-1,1673533543.198598,43
134.553913,0.350401,plain_hit,NULL,-1,1673533543.424170,44
134.901743,0.000000,key_down,NULL,32,1673533543.772000,44
134.904314,0.210682,gap_element,auto_generated,-1,1673533543.774571,45
135.114996,0.350202,plain_hit,NULL,-1,1673533543.985253,46
135.461743,0.000000,key_down,NULL,32,1673533544.332000,46
135.465198,0.203086,gap_element,auto_generated,-1,1673533544.335455,47
135.676079,0.326916,plain_hit,NULL,-1,1673533544.546336,48
136.005743,0.000000,key_down,NULL,32,1673533544.876000,48
136.010891,0.203185,gap_element,auto_generated,-1,1673533544.881148,49
136.221872,0.311625,plain_hit,NULL,-1,1673533545.092129,50
136.533743,0.000000,key_down,NULL,32,1673533545.404000,50
136.541193,0.203286,gap_element,auto_generated,-1,1673533545.411450,51
136.752274,0.311722,plain_hit,NULL,-1,1673533545.622531,52
137.061743,0.000000,key_down,NULL,32,1673533545.932000,52
137.063996,0.210581,gap_element,auto_generated,-1,1673533545.934253,53
137.274577,0.319018,plain_hit,NULL,-1,1673533546.144834,54
137.589743,0.000000,key_down,NULL,32,1673533546.460000,54
137.593595,0.218076,gap_element,auto_generated,-1,1673533546.463852,55
137.819366,1.008239,pattern,NULL,-1,1673533546.689623,56
138.827605,0.219681,gap_element,auto_generated,-1,1673533547.697862,57
139.047286,0.367904,plain_hit,NULL,-1,1673533547.917543,58
139.413743,0.000000,key_down,NULL,32,1673533548.284000,58
139.415190,0.226979,gap_element,auto_generated,-1,1673533548.285447,59
139.642169,0.811966,pattern,NULL,-1,1673533548.512426,60
140.454135,0.210388,gap_element,auto_generated,-1,1673533549.324392,61
140.664523,0.350914,plain_hit,NULL,-1,1673533549.534780,62
141.013743,0.000000,key_down,NULL,32,1673533549.884000,62
141.015437,0.218783,gap_element,auto_generated,-1,1673533549.885694,63
141.234220,1.209264,pattern,NULL,-1,1673533550.104477,64
142.443484,0.203997,gap_element,auto_generated,-1,1673533551.313741,65
142.647481,0.822490,pattern,NULL,-1,1673533551.517738,66
143.469971,0.218191,gap_element,auto_generated,-1,1673533552.340228,67
143.688162,0.382711,plain_hit,NULL,-1,1673533552.558419,68
144.069743,0.000000,key_down,NULL,32,1673533552.940000,68
144.070873,0.210394,gap_element,auto_generated,-1,1673533552.941130,69
144.281267,0.351828,plain_hit,NULL,-1,1673533553.151524,70
144.629743,0.000000,key_down,NULL,32,1673533553.500000,70
144.633095,0.211700,gap_element,auto_generated,-1,1673533553.503352,71
144.844795,0.313955,plain_hit,NULL,-1,1673533553.715052,72
145.157743,0.000000,key_down,NULL,32,1673533554.028000,72
145.158750,0.211900,gap_element,auto_generated,-1,1673533554.029007,73
145.370650,0.312754,plain_hit,NULL,-1,1673533554.240907,74
145.685743,0.000000,key_down,NULL,32,1673533554.556000,74
145.691101,0.203305,gap_element,auto_generated,-1,1673533554.561358,75
145.902203,0.328246,plain_hit,NULL,-1,1673533554.772460,76
146.229743,0.000000,key_down,NULL,32,1673533555.100000,76
146.230449,0.218098,gap_element,auto_generated,-1,1673533555.100706,77
146.448547,0.311656,plain_hit,NULL,-1,1673533555.318804,78
146.757743,0.000000,key_down,NULL,32,1673533555.628000,78
146.760203,0.210902,gap_element,auto_generated,-1,1673533555.630460,79
146.979001,0.327247,plain_hit,NULL,-1,1673533555.849258,80
147.301743,0.000000,key_down,NULL,32,1673533556.172000,80
147.306248,0.211002,gap_element,auto_generated,-1,1673533556.176505,81
147.517250,0.295664,plain_hit,NULL,-1,1673533556.387507,82
147.813743,0.000000,key_down,NULL,32,1673533556.684000,82
147.820610,0.210302,gap_element,auto_generated,-1,1673533556.690867,83
148.030912,0.296063,plain_hit,NULL,-1,1673533556.901169,84
148.325743,0.000000,key_down,NULL,32,1673533557.196000,84
148.326975,0.211202,gap_element,auto_generated,-1,1673533557.197232,85
148.545873,1.014027,pattern,NULL,-1,1673533557.416130,86
148.836743,0.000000,key_down,NULL,32,1673533557.707000,86
149.567596,0.210402,gap_element,auto_generated,-1,1673533558.437853,87
149.785694,0.366429,plain_hit,NULL,-1,1673533558.655951,88
150.149743,0.000000,key_down,NULL,32,1673533559.020000,88
150.152123,0.217797,gap_element,auto_generated,-1,1673533559.022380,89
150.369920,0.514760,plain_hit,NULL,-1,1673533559.240177,90
150.885743,0.000000,key_down,NULL,32,1673533559.756000,90
150.892576,0.210902,gap_element,auto_generated,-1,1673533559.762833,91
151.111274,0.413007,plain_hit,NULL,-1,1673533559.981531,92
151.525743,0.000000,key_down,NULL,32,1673533560.396000,92
151.532078,0.203106,gap_element,auto_generated,-1,1673533560.402335,93
151.735184,0.303257,plain_hit,NULL,-1,1673533560.605441,94
152.037743,0.000000,key_down,NULL,32,1673533560.908000,94
152.046338,0.203205,gap_element,auto_generated,-1,1673533560.916595,95
152.257440,0.818017,pattern,NULL,-1,1673533561.127697,96
153.075457,0.218998,gap_element,auto_generated,-1,1673533561.945714,97
153.294455,0.389818,plain_hit,NULL,-1,1673533562.164712,98
153.685743,0.000000,key_down,NULL,32,1673533562.556000,98
153.692069,0.210502,gap_element,auto_generated,-1,1673533562.562326,99
153.902571,0.802624,pattern,NULL,-1,1673533562.772828,100
154.705195,0.219102,gap_element,auto_generated,-1,1673533563.575452,101
154.924297,0.345348,plain_hit,NULL,-1,1673533563.794554,102
155.269743,0.000000,key_down,NULL,32,1673533564.140000,102
155.277441,0.203511,gap_element,auto_generated,-1,1673533564.147698,103
155.480952,0.446906,plain_hit,NULL,-1,1673533564.351209,104
155.925743,0.000000,key_down,NULL,32,1673533564.796000,104
155.927858,0.210507,gap_element,auto_generated,-1,1673533564.798115,105
